,wSMI,p_e,k,b,b_n,g,g_n,t,t_n,d,d_n,a_n,a,CNV,P1,P3a,P3b,probe,mind,preproc,participant
6,0.1201551504332316,0.9031146343256138,0.7656249999999999,-103.39582931429148,0.1957063639069254,-112.68793644280586,0.0374622912812603,-103.0264777860047,0.223548259128218,-102.1029728014586,0.2922824116942413,0.251000673989355,-102.43784052133869,7.647202591877903,-4.029180289095107e-06,-2.5076729798137624e-06,8.129126194403441e-07,PC,dMW,erp,0
7,0.1164265840991916,0.8733432688319508,0.7602442052980132,-106.12779533144064,0.1099736112588657,-113.9019865889116,0.0246356713014383,-102.8089886453752,0.2436651886602767,-99.66654393090606,0.473645489748885,0.1480800390305341,-105.21603189781187,10.552293048551112,1.7002382697833569e-06,6.612304336253772e-06,5.2474084970611166e-06,PC,dMW,erp,0
8,0.1132324237173388,0.8908908252994919,0.7610720198675496,-102.19069936541226,0.1853521636620823,-112.99226175060616,0.0195747264668579,-99.8551823644742,0.3391810787380896,-100.44352472840256,0.2748635099913659,0.1810285211416041,-102.4670480760002,-4.0021025812808055,-8.8955827654244e-06,-1.0470735524318534e-05,-3.0706236645408104e-06,PC,dMW,erp,0
9,0.1085398368312156,0.936437636766852,0.7750413907284763,-103.75277499368929,0.2011992628354935,-111.37640014313044,0.0458487635628299,-103.78703112024974,0.247116895949897,-104.57404785551242,0.2034687433361065,0.3023663343156728,-102.32501290901168,-0.8536257421904435,6.401948929067284e-07,2.154020010074112e-06,6.899233980342013e-06,PC,dMW,erp,0
10,0.1076847551641884,0.8821327877578126,0.7607615894039733,-104.36860949709283,0.1441056886914895,-112.69309712435826,0.0231336722729028,-100.37432031530852,0.3472868900603311,-100.49629637523482,0.3699666923689698,0.1155070566063066,-105.4200764569714,19.706124264201915,-3.490621863361652e-06,8.414051719600778e-06,3.3502940472872022e-06,PC,dMW,erp,0
11,0.1137734568261138,0.8969821990390381,0.7657284768211918,-105.20891293819068,0.1367957420127379,-113.69822575088922,0.0208904857250458,-100.04330999306744,0.4209839234539357,-101.58342590198296,0.300518795390899,0.1208110534173814,-106.27286840700414,1.3021660968065083,-4.341653312746816e-07,7.280403036381096e-06,5.870703144755733e-06,PC,dMW,erp,0
12,0.1042251479795512,0.9308652579038544,0.7730753311258274,-103.97952357954792,0.2323849376509331,-113.1804647899786,0.0297589520437797,-102.5554490329612,0.3220302066854021,-105.42287898749332,0.1791285487541532,0.2366973548657316,-104.19985547370746,6.650316015311536,-7.449741390247928e-07,-5.602489100568206e-07,-1.465382441189911e-07,PC,dMW,erp,0
13,0.1035806168072696,0.9238420738432688,0.7637624172185428,-102.29779923165128,0.152547062036013,-112.53025754229682,0.0159407931154701,-99.48162934053884,0.2695145097262375,-98.41380653309386,0.3672342163150121,0.1947634188072672,-101.235678712849,6.229661348856054,-4.6909918942712615e-06,-1.6561064463102146e-06,1.8568871536996967e-06,PC,dMW,erp,0
14,0.1109964947326117,0.9322059337187852,0.7699710264900659,-102.80663172395418,0.2621049815647975,-113.95108533259098,0.021393972776435,-103.11074318793337,0.2440146092899174,-102.34197068176914,0.3113743222414897,0.1611121141273603,-105.12668837451383,8.205443806743071,1.42374705915217e-06,5.525735152257264e-06,1.6215305875440937e-06,PC,dMW,erp,0
15,0.1102147667402612,0.9077789611557538,0.7664528145695362,-101.4008512310902,0.2066003198598812,-113.09468928598352,0.0149486125239595,-101.7833344328101,0.2089749226763112,-99.62990165034658,0.3382458944719027,0.2312302504679452,-101.12868678694748,5.877439759040361,-7.308667215222854e-07,1.3253429636476873e-06,7.120971848866059e-07,PC,dMW,erp,0
16,0.1148039626584743,0.9219767007604142,0.7751448675496684,-103.92371624757394,0.1973600649925602,-112.38606616138418,0.0302860147691905,-102.78839268760888,0.2748737231436865,-102.5389624429992,0.284013200158991,0.2134669969355716,-103.75299024188884,1.3451691344039522,-1.123951363532537e-06,-1.117141001417354e-06,5.682800485159593e-07,PC,dMW,erp,0
17,0.1146047303395041,0.9272674421735432,0.7677980132450327,-101.7868793001524,0.1884521399319496,-111.3520510599825,0.0206039888468613,-101.8456145924074,0.1866341363918656,-99.95635279537248,0.3079275453506163,0.2963821894787071,-100.53750608667288,4.0476781316444574,5.37151570624731e-06,4.245486709461729e-06,4.5013238345671766e-07,PC,dMW,erp,0
0,0.1073079069942463,0.9039979373596616,0.7629346026490064,-102.20865863073868,0.1714421769149017,-111.96976012980394,0.0204498991782127,-99.88303412237197,0.2994023871064841,-100.88037662439712,0.2562282212115165,0.2524773155888848,-100.97023186317384,5.264480638247718,1.1416579608947903e-06,4.053835273522961e-06,3.7625934522957176e-06,PC,sMW,erp,0
1,0.1090117930709,0.9090596130172912,0.7717301324503307,-104.44242950893992,0.2300670535402093,-112.01477563206758,0.0407920485929959,-106.62732903115062,0.1377933595323077,-101.18586395069885,0.4706562404287716,0.1206912979057153,-107.46493873036172,10.93456200786848,-2.44316765252944e-06,4.425082507650357e-06,3.3341897975288183e-06,PC,sMW,erp,0
2,0.1059408278663905,0.9103125216748,0.7633485099337746,-103.16129543475664,0.2023358161719942,-111.91422022202426,0.0267498000193922,-103.67550316478136,0.1903150436751899,-100.04425424995613,0.393245176207171,0.1873541639262526,-103.42682863195418,17.71574557141731,-1.398984718305803e-06,5.308695113387387e-06,1.5125341728583751e-06,PC,sMW,erp,0
