,markers,p_value,AUC,Rank_Biserial,Cliffs_Delta,Cohens_d,Rosenthals_r,Common_lanaguage,Impact,p_corrected,significant
14,p_e_8_mean,0.946044921875,0.5029585798816568,-0.032967032967033016,0.07692307692307687,-0.039820967483288824,-0.02907419023147902,0.4970414201183432,0.519417931778621,1.0,p > 0.05
15,p_e_8_std,0.127197265625,0.4082840236686391,0.4945054945054945,0.07692307692307687,0.5595605856737929,-0.4361128534721853,0.591715976331361,-1.2006438078605672,0.6967022235576924,p > 0.05
16,k_mean,0.2734375,0.5562130177514792,-0.3626373626373627,-0.23076923076923073,-0.1571859636485311,-0.31981609254626925,0.4437869822485207,0.8088353268910163,0.8335626775568182,p > 0.05
17,k_std,0.83935546875,0.4556213017751479,0.07692307692307687,0.23076923076923084,0.0624860319044519,-0.06783977720678437,0.5443786982248521,-0.5515414497543835,0.983657525510204,p > 0.05
18,se_mean,0.09423828125,0.5798816568047338,-0.5384615384615385,-0.3846153846153846,-0.24387171701511623,-0.47487844044749067,0.42011834319526625,0.6988042076988645,0.6967022235576924,p > 0.05
19,se_std,0.892578125,0.47928994082840237,0.05494505494505497,-0.07692307692307687,0.009917361044280988,-0.0484569837191317,0.5207100591715976,-0.6348352719706664,0.983657525510204,p > 0.05
20,msf_mean,0.09423828125,0.5562130177514792,-0.5384615384615385,-0.3846153846153846,-0.20581852700666947,-0.47487844044749067,0.4437869822485207,0.8034078787304784,0.6967022235576924,p > 0.05
21,msf_std,0.635498046875,0.4615384615384615,-0.16483516483516486,-0.3846153846153846,-0.049809766301291664,-0.14537095115739507,0.5384615384615384,-0.6325468279102183,0.9804827008928572,p > 0.05
22,sef90_mean,0.167724609375,0.5443786982248521,-0.4505494505494505,-0.3846153846153846,-0.1396183293860691,-0.39734726649687996,0.4556213017751479,0.8932941141711088,0.6967022235576924,p > 0.05
23,sef90_std,0.375732421875,0.5443786982248521,-0.2967032967032967,-0.07692307692307687,-0.4426776527666524,-0.26166771208331113,0.4556213017751479,0.7760963279975173,0.8771798270089286,p > 0.05
24,sef95_mean,0.305419921875,0.5266272189349113,-0.3406593406593406,-0.3846153846153846,-0.10233968065960033,-0.3004332990586165,0.47337278106508873,0.7517140500612233,0.8335626775568182,p > 0.05
25,sef95_std,0.454833984375,0.5502958579881657,-0.25274725274725274,-0.07692307692307687,-0.42967657544530025,-0.2229021251080058,0.44970414201183434,1.1695136315976646,0.8771798270089286,p > 0.05
26,b_mean,0.541748046875,0.4970414201183432,-0.20879120879120877,-0.23076923076923073,0.005472516336470041,-0.18413653813270045,0.5029585798816568,-0.5012838205228448,0.9141998291015625,p > 0.05
27,b_std,0.684814453125,0.5680473372781065,-0.14285714285714285,-0.23076923076923073,0.012522835690475784,-0.12598815766974242,0.4319526627218935,-0.964583814507552,0.983657525510204,p > 0.05
28,b_n_mean,0.068115234375,0.6035502958579881,-0.5824175824175823,-0.3846153846153846,-0.37011365627291387,-0.5136440274227959,0.39644970414201186,0.7812963862715274,0.6967022235576924,p > 0.05
29,b_n_std,0.892578125,0.49704142011834324,-0.05494505494505497,0.07692307692307687,-0.1390970026444127,-0.0484569837191317,0.5029585798816568,1.154192406993691,0.983657525510204,p > 0.05
30,g_mean,0.83935546875,0.5207100591715976,0.07692307692307687,-0.07692307692307687,0.03515093887849839,-0.06783977720678437,0.47928994082840237,-0.7054030854203113,0.983657525510204,p > 0.05
31,g_std,0.454833984375,0.40828402366863903,0.25274725274725274,0.07692307692307687,0.3010968273555878,-0.2229021251080058,0.591715976331361,-0.5523812199017057,0.8771798270089286,p > 0.05
32,g_n_mean,0.454833984375,0.5384615384615384,-0.25274725274725274,-0.23076923076923073,-0.06561543523646861,-0.2229021251080058,0.46153846153846156,0.7221462981417439,0.8771798270089286,p > 0.05
33,g_n_std,0.786865234375,0.43195266272189353,-0.09890109890109894,-0.23076923076923073,0.01703918128816504,-0.08722257069443706,0.5680473372781065,-1.2263872525120116,0.983657525510204,p > 0.05
34,t_mean,0.080322265625,0.4319526627218935,0.5604395604395604,0.23076923076923084,0.3517370806224568,-0.4942612339351433,0.5680473372781065,-1.035443401753021,0.6967022235576924,p > 0.05
35,t_std,0.2734375,0.5384615384615384,-0.3626373626373627,-0.23076923076923073,-0.315887939315123,-0.31981609254626925,0.46153846153846156,1.0788387066300165,0.8335626775568182,p > 0.05
36,t_n_mean,0.080322265625,0.34911242603550297,0.5604395604395604,0.3846153846153846,0.5281647839653932,-0.4942612339351433,0.650887573964497,-0.7023526450659381,0.6967022235576924,p > 0.05
37,t_n_std,0.414306640625,0.3431952662721893,0.2747252747252747,0.07692307692307687,0.2243552234836404,-0.24228491859565848,0.6568047337278107,-0.9830706993400564,0.8771798270089286,p > 0.05
38,d_mean,1.0,0.49112426035502965,0.01098901098901095,0.07692307692307687,0.08045188660746802,-0.00969139674382634,0.5088757396449705,-0.9056853978677654,1.0,p > 0.05
39,d_std,0.243896484375,0.57396449704142,-0.3846153846153846,-0.23076923076923073,-0.5241712584719839,-0.3391988860339219,0.4260355029585799,1.1092224765481153,0.8335626775568182,p > 0.05
