,markers,p_value,AUC,Rank_Biserial,Cliffs_Delta,Cohens_d,Rosenthals_r,p_corrected,significant
24,sef95_mean,1.0,0.47959183673469385,-0.4693877551020408,0.2857142857142858,-0.08336034593487805,-0.00838886027878148,1.0,p > 0.05
25,sef95_std,0.2412109375,0.4183673469387755,-0.6632653061224489,0.4285714285714286,-0.06838516979300167,-0.3271655508724777,0.9754541015625,p > 0.05
26,b_mean,0.7608642578125,0.5,-0.5204081632653061,0.1428571428571428,0.003067603750677769,-0.09227746306659626,0.9754541015625,p > 0.05
27,b_std,0.625732421875,0.4540816326530612,-0.5510204081632653,0.0,0.31466256193959075,-0.14261062473928512,0.9754541015625,p > 0.05
28,b_n_mean,0.463134765625,0.4846938775510204,-0.5918367346938775,-0.1428571428571429,-0.12314752341349161,-0.20972150696953695,0.9754541015625,p > 0.05
29,b_n_std,0.42626953125,0.5918367346938775,-0.6020408163265306,-0.1428571428571429,-0.23939705872297842,-0.22649922752709992,0.9754541015625,p > 0.05
30,g_mean,0.42626953125,0.47959183673469385,-0.6020408163265306,0.2857142857142858,-0.05364247876031927,-0.22649922752709992,0.9754541015625,p > 0.05
31,g_std,0.2412109375,0.6071428571428571,-0.6632653061224489,-0.1428571428571429,-0.5197500293589897,-0.3271655508724777,0.9754541015625,p > 0.05
32,g_n_mean,0.855224609375,0.5051020408163266,-0.5,0.1428571428571428,-0.16537343548018243,-0.05872202195147035,0.9754541015625,p > 0.05
33,g_n_std,0.9031982421875,0.5051020408163266,-0.4897959183673469,0.0,-0.22592411483004662,-0.04194430139390739,0.9754541015625,p > 0.05
34,t_mean,0.2957763671875,0.4387755102040817,-0.6428571428571428,0.2857142857142858,0.17742115192519792,-0.29361010975735174,0.9754541015625,p > 0.05
35,t_std,0.118896484375,0.34183673469387754,-0.7244897959183674,0.4285714285714286,0.39350891544388233,-0.42783187421785546,0.9754541015625,p > 0.05
36,t_n_mean,0.3909912109375,0.44387755102040816,-0.6122448979591837,0.1428571428571428,0.237388752633372,-0.24327694808466288,0.9754541015625,p > 0.05
37,t_n_std,0.267578125,0.3979591836734694,-0.653061224489796,0.2857142857142858,0.3029198745800595,-0.31038783031491474,0.9754541015625,p > 0.05
38,d_mean,0.42626953125,0.44897959183673475,-0.6020408163265306,0.2857142857142858,0.18057707323767533,-0.22649922752709992,0.9754541015625,p > 0.05
39,d_std,0.267578125,0.5714285714285714,-0.653061224489796,-0.2857142857142857,-0.3189344002389651,-0.31038783031491474,0.9754541015625,p > 0.05
40,d_n_mean,0.9031982421875,0.5561224489795918,-0.4897959183673469,0.0,0.05257727295537566,-0.04194430139390739,0.9754541015625,p > 0.05
41,d_n_std,0.7608642578125,0.5816326530612245,-0.5204081632653061,-0.1428571428571429,-0.06879450140864506,-0.09227746306659626,0.9754541015625,p > 0.05
42,a_n_mean,0.71484375,0.49489795918367346,-0.5306122448979591,0.0,0.05871706752750009,-0.10905518362415922,0.9754541015625,p > 0.05
43,a_n_std,1.0,0.47959183673469385,-0.4693877551020408,0.0,0.24709319713826935,-0.00838886027878148,1.0,p > 0.05
44,a_mean,0.8077392578125,0.49999999999999994,-0.5102040816326531,0.0,0.0635880270188975,-0.0754997425090333,0.9754541015625,p > 0.05
45,a_std,0.1937255859375,0.34183673469387754,-0.6836734693877551,0.2857142857142858,0.5268148086839518,-0.3607209919876036,0.9754541015625,p > 0.05
46,CNV_mean,0.463134765625,0.39285714285714285,-0.5918367346938775,0.1428571428571428,0.12406818837558171,-0.20972150696953695,0.9754541015625,p > 0.05
47,CNV_std,0.7608642578125,0.44897959183673475,-0.5204081632653061,0.1428571428571428,0.12208177625435968,-0.09227746306659626,0.9754541015625,p > 0.05
48,P1_mean,0.7608642578125,0.5255102040816327,-0.5204081632653061,-0.2857142857142857,0.024210254286957535,-0.09227746306659626,0.9754541015625,p > 0.05
49,P1_std,0.5015869140625,0.6122448979591837,-0.5816326530612245,-0.1428571428571429,-0.19508941848076297,-0.19294378641197402,0.9754541015625,p > 0.05
50,P3a_mean,0.5416259765625,0.5102040816326531,-0.5714285714285714,-0.1428571428571429,-0.09974011238854681,-0.17616606585441105,0.9754541015625,p > 0.05
51,P3a_std,0.5416259765625,0.5255102040816326,-0.5714285714285714,-0.1428571428571429,-0.11213115428307076,-0.17616606585441105,0.9754541015625,p > 0.05
52,P3b_mean,0.2957763671875,0.3979591836734694,-0.6428571428571428,0.4285714285714286,0.2766212238410917,-0.29361010975735174,0.9754541015625,p > 0.05
53,P3b_std,0.71484375,0.5051020408163265,-0.5306122448979591,-0.2857142857142857,-0.1897702519928362,-0.10905518362415922,0.9754541015625,p > 0.05
