,Marker,AUC_mean,AUC_std,AUC_sem,AUC_range,AUCs
23,sef90_std,0.4437073783629511,0.13938358301097975,0.06969179150548988,0.3437628006668254,"[0.5575396825396824, 0.5926315789473684, 0.37578947368421045, 0.248868778280543]"
24,sef95_mean,0.49658049015827654,0.0349625056747073,0.01748125283735365,0.07939650219061989,"[0.5307539682539683, 0.5305263157894737, 0.47368421052631576, 0.45135746606334837]"
25,sef95_std,0.46766906661450003,0.08110775172948981,0.040553875864744904,0.20351503759398498,"[0.5803571428571428, 0.5073684210526316, 0.3768421052631578, 0.4061085972850679]"
26,b_mean,0.4807479837414048,0.07607395070782391,0.038036975353911956,0.1963522588522587,"[0.6001984126984126, 0.491578947368421, 0.42736842105263156, 0.40384615384615385]"
27,b_std,0.4624588171975943,0.08175494287138312,0.04087747143569156,0.20782607914960854,"[0.32837301587301587, 0.4652631578947368, 0.52, 0.5361990950226244]"
28,b_n_mean,0.54786166254626,0.12961896819232643,0.06480948409616322,0.36255430242272346,"[0.35218253968253965, 0.7147368421052631, 0.5442105263157895, 0.5803167420814479]"
29,b_n_std,0.4907277833535573,0.051277309419065865,0.025638654709532933,0.12499551102492285,"[0.4394841269841269, 0.4463157894736843, 0.5126315789473683, 0.5644796380090498]"
30,g_mean,0.4385736659711118,0.070975992922111,0.0354879964610555,0.1990783519885686,"[0.45337301587301587, 0.43894736842105264, 0.5305263157894736, 0.331447963800905]"
31,g_std,0.46698609032006866,0.02414102187821563,0.012070510939107815,0.0660129490392648,"[0.5049603174603174, 0.4568421052631578, 0.43894736842105264, 0.4671945701357466]"
32,g_n_mean,0.5028842987937415,0.11022958856329479,0.055114794281647395,0.3089222868634633,"[0.6686507936507936, 0.47789473684210526, 0.5052631578947369, 0.3597285067873303]"
33,g_n_std,0.5116946873216224,0.07730405209277783,0.03865202604638891,0.16842105263157892,"[0.5793650793650794, 0.42947368421052634, 0.5978947368421053, 0.44004524886877827]"
34,t_mean,0.5492181197715253,0.08421826268763406,0.04210913134381703,0.2305263157894738,"[0.5257936507936508, 0.6589473684210527, 0.4284210526315789, 0.583710407239819]"
35,t_std,0.47957252199125266,0.045986886254697504,0.022993443127348752,0.09972848788638272,"[0.42658730158730157, 0.5263157894736843, 0.5242105263157895, 0.4411764705882353]"
36,t_n_mean,0.5550250461183124,0.07353744837022601,0.036768724185113004,0.15789473684210514,"[0.6259920634920635, 0.47263157894736846, 0.6305263157894736, 0.49095022624434387]"
37,t_n_std,0.5474727566465183,0.0855047442752712,0.0427523721376356,0.2094427244582044,"[0.5109126984126984, 0.6947368421052632, 0.49894736842105264, 0.4852941176470588]"
38,d_mean,0.5253009668779793,0.09135505599420654,0.04567752799710327,0.22064659197012138,"[0.5882936507936508, 0.5663157894736842, 0.5789473684210527, 0.36764705882352944]"
39,d_std,0.5420936390750632,0.09508721465981827,0.047543607329909136,0.24315789473684213,"[0.5952380952380953, 0.3810526315789473, 0.6242105263157894, 0.5678733031674208]"
40,d_n_mean,0.5157073159898237,0.10623604044562988,0.05311802022281494,0.25638961657537507,"[0.4265873015873016, 0.5789473684210525, 0.6568421052631579, 0.4004524886877828]"
41,d_n_std,0.4875240231045185,0.07412662098517378,0.03706331049258689,0.18027149321266966,"[0.5198412698412698, 0.5305263157894737, 0.54, 0.35972850678733037]"
42,a_n_mean,0.45520326551673296,0.033611992958121006,0.016805996479060503,0.09226817042606522,"[0.5059523809523809, 0.45999999999999996, 0.4136842105263157, 0.44117647058823534]"
43,a_n_std,0.46662904905551966,0.09219660703726225,0.046098303518631124,0.25642021720969094,"[0.3551587301587302, 0.6115789473684211, 0.44842105263157894, 0.4513574660633484]"
44,a_mean,0.47178306342780024,0.05305215545031466,0.02652607772515733,0.13850877192982458,"[0.5416666666666666, 0.5, 0.40315789473684205, 0.4423076923076923]"
45,a_std,0.5161720288655273,0.07473149125682062,0.03736574562841031,0.21043581805191713,"[0.5079365079365079, 0.5273684210526315, 0.4094736842105263, 0.6199095022624435]"
46,CNV_mean,0.5042563067737217,0.036123570585291274,0.018061785292645637,0.08667778042391044,"[0.49107142857142855, 0.4800000000000001, 0.5663157894736842, 0.4796380090497738]"
47,CNV_std,0.478432586934909,0.11658316446994112,0.05829158223497056,0.29768189327012856,"[0.2996031746031746, 0.4515789473684211, 0.5652631578947368, 0.5972850678733032]"
48,P1_mean,0.4683359511145888,0.0683618813325432,0.0341809406662716,0.1511717075494165,"[0.4126984126984127, 0.38842105263157894, 0.5326315789473683, 0.5395927601809954]"
49,P1_std,0.6036035365563229,0.02148646756352372,0.01074323378176186,0.05657894736842106,"[0.625, 0.5684210526315789, 0.6157894736842104, 0.6052036199095022]"
50,P3a_mean,0.49773583893746437,0.04996524447289364,0.02498262223644682,0.13816833751044277,"[0.435515873015873, 0.5021052631578948, 0.5736842105263158, 0.4796380090497738]"
51,P3a_std,0.449679128061481,0.045315751589456874,0.022657875794728437,0.1133196868490986,"[0.41269841269841273, 0.44105263157894736, 0.4189473684210526, 0.5260180995475113]"
52,P3b_mean,0.5618762781765878,0.012548052251540327,0.006274026125770164,0.03410192147034252,"[0.5793650793650794, 0.5452631578947369, 0.5663157894736841, 0.5565610859728507]"
53,P3b_std,0.517735146690255,0.047159979004058945,0.023579989502029473,0.12794486215538847,"[0.44047619047619047, 0.5326315789473685, 0.5684210526315789, 0.5294117647058824]"
