,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
162,162,0.5635779151404151,2024-01-04 14:00:33.056117,2024-01-04 14:00:35.544653,0 days 00:00:02.488536,7,0.5444493256761989,7,37,COMPLETE
78,78,0.5634316493691494,2024-01-04 13:57:01.930564,2024-01-04 13:57:04.381558,0 days 00:00:02.450994,10,0.3728615368008773,9,36,COMPLETE
645,645,0.5633648758648758,2024-01-04 14:18:37.287509,2024-01-04 14:18:39.434708,0 days 00:00:02.147199,23,0.4932966129259256,9,26,COMPLETE
447,447,0.5633648758648758,2024-01-04 14:11:15.052026,2024-01-04 14:11:17.215045,0 days 00:00:02.163019,9,0.48215767378718655,9,26,COMPLETE
346,346,0.5632027116402116,2024-01-04 14:07:26.304409,2024-01-04 14:07:28.607764,0 days 00:00:02.303355,12,0.796703708142942,10,32,COMPLETE
488,488,0.5631613756613757,2024-01-04 14:12:48.175768,2024-01-04 14:12:50.448959,0 days 00:00:02.273191,16,0.45561550399707224,8,29,COMPLETE
622,622,0.5631613756613757,2024-01-04 14:17:46.640370,2024-01-04 14:17:48.881859,0 days 00:00:02.241489,8,0.4527241687589385,8,29,COMPLETE
208,208,0.5631613756613757,2024-01-04 14:02:19.989136,2024-01-04 14:02:22.238292,0 days 00:00:02.249156,8,0.45197967210793166,8,29,COMPLETE
600,600,0.5631613756613757,2024-01-04 14:16:57.121468,2024-01-04 14:16:59.360583,0 days 00:00:02.239115,9,0.45958778480942375,8,29,COMPLETE
564,564,0.563085063085063,2024-01-04 14:15:38.236981,2024-01-04 14:15:40.434656,0 days 00:00:02.197675,10,0.488238915776266,9,28,COMPLETE
176,176,0.5626876017501017,2024-01-04 14:01:07.014193,2024-01-04 14:01:09.354350,0 days 00:00:02.340157,5,0.5320003584021374,6,33,COMPLETE
212,212,0.5626303673178672,2024-01-04 14:02:28.910610,2024-01-04 14:02:31.154555,0 days 00:00:02.243945,10,0.45850606667475724,8,30,COMPLETE
468,468,0.5626303673178672,2024-01-04 14:12:03.799170,2024-01-04 14:12:06.085192,0 days 00:00:02.286022,10,0.4523839639268771,8,30,COMPLETE
536,536,0.5622297262922262,2024-01-04 14:14:36.489241,2024-01-04 14:14:38.627922,0 days 00:00:02.138681,10,0.38468778230509837,9,25,COMPLETE
522,522,0.562159773097273,2024-01-04 14:14:06.889858,2024-01-04 14:14:08.984941,0 days 00:00:02.095083,8,0.5180974561972463,11,24,COMPLETE
441,441,0.5621120777370777,2024-01-04 14:11:01.344570,2024-01-04 14:11:03.678688,0 days 00:00:02.334118,10,0.48239609334544015,8,32,COMPLETE
621,621,0.5621120777370777,2024-01-04 14:17:44.272377,2024-01-04 14:17:46.638671,0 days 00:00:02.366294,17,0.49152204665328886,8,32,COMPLETE
461,461,0.5619976088726089,2024-01-04 14:11:47.201325,2024-01-04 14:11:49.567516,0 days 00:00:02.366191,12,0.5115623288698945,8,33,COMPLETE
673,673,0.561965811965812,2024-01-04 14:19:39.647309,2024-01-04 14:19:41.821798,0 days 00:00:02.174489,24,0.5300521608336212,8,26,COMPLETE
256,256,0.5617050773300774,2024-01-04 14:04:09.889420,2024-01-04 14:04:12.240002,0 days 00:00:02.350582,12,0.5040789834654403,7,33,COMPLETE
312,312,0.5606780372405372,2024-01-04 14:06:11.656118,2024-01-04 14:06:13.857623,0 days 00:00:02.201505,21,0.7814129613865609,8,29,COMPLETE
964,964,0.5605826465201466,2024-01-04 14:30:28.256897,2024-01-04 14:30:30.530841,0 days 00:00:02.273944,6,0.9914002713286978,9,27,COMPLETE
172,172,0.5605635683760684,2024-01-04 14:00:57.415208,2024-01-04 14:00:59.966643,0 days 00:00:02.551435,7,0.5509142611570627,7,37,COMPLETE
135,135,0.5604681776556777,2024-01-04 13:59:26.439076,2024-01-04 13:59:29.064912,0 days 00:00:02.625836,7,0.4617171476034897,8,39,COMPLETE
730,730,0.560382326007326,2024-01-04 14:21:42.967760,2024-01-04 14:21:45.052303,0 days 00:00:02.084543,8,0.48166861535364713,10,23,COMPLETE
220,220,0.5603759666259667,2024-01-04 14:02:46.340164,2024-01-04 14:02:48.680247,0 days 00:00:02.340083,8,0.4988762848569954,8,32,COMPLETE
772,772,0.5599848646723646,2024-01-04 14:23:15.619270,2024-01-04 14:23:17.817863,0 days 00:00:02.198593,8,0.8588699318756472,8,27,COMPLETE
917,917,0.5597909035409036,2024-01-04 14:28:44.156068,2024-01-04 14:28:46.571688,0 days 00:00:02.415620,11,0.8482752913958418,7,35,COMPLETE
297,297,0.5596446377696378,2024-01-04 14:05:38.711151,2024-01-04 14:05:40.952025,0 days 00:00:02.240874,26,0.37241814748320257,8,29,COMPLETE
216,216,0.5592344576719577,2024-01-04 14:02:37.254599,2024-01-04 14:02:39.378495,0 days 00:00:02.123896,9,0.43826153769372056,8,25,COMPLETE
193,193,0.5590214183964184,2024-01-04 14:01:47.761268,2024-01-04 14:01:49.936315,0 days 00:00:02.175047,8,0.4806118233932234,8,27,COMPLETE
618,618,0.5586843711843712,2024-01-04 14:17:37.775658,2024-01-04 14:17:39.832355,0 days 00:00:02.056697,14,0.5185560736946928,7,22,COMPLETE
415,415,0.5586843711843712,2024-01-04 14:10:00.763317,2024-01-04 14:10:02.807049,0 days 00:00:02.043732,10,0.5206665844964778,7,22,COMPLETE
229,229,0.5586843711843712,2024-01-04 14:03:06.427319,2024-01-04 14:03:08.470228,0 days 00:00:02.042909,10,0.5231095648943626,7,22,COMPLETE
370,370,0.5586016992266993,2024-01-04 14:08:19.063553,2024-01-04 14:08:21.367959,0 days 00:00:02.304406,3,0.4842901689389739,8,31,COMPLETE
925,925,0.5583664021164021,2024-01-04 14:29:01.655181,2024-01-04 14:29:03.957819,0 days 00:00:02.302638,11,0.514459974049092,8,31,COMPLETE
616,616,0.5581915191290191,2024-01-04 14:17:33.291505,2024-01-04 14:17:35.489915,0 days 00:00:02.198410,12,0.3722861087132056,8,27,COMPLETE
832,832,0.5578958078958078,2024-01-04 14:25:32.587303,2024-01-04 14:25:34.571939,0 days 00:00:01.984636,7,0.22195351692553678,2,19,COMPLETE
848,848,0.5574983465608465,2024-01-04 14:26:07.557137,2024-01-04 14:26:09.863715,0 days 00:00:02.306578,25,0.5020865161877857,8,31,COMPLETE
