,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
38,d_mean,-45.594159704449574,97.18831940889915,3.292842632799279,,,,,,,,,0.7887969826386773,0.9192,0.3565625,0.23705236964616302,0.5996,0.54004329004329,0.2214625280230915,0.7948,-0.049242424242424226,0.08662573201537324,0.49752858333333333,[0.62989583 0.5340625  0.4565625  ... 0.42427083 0.38510417 0.3409375 ],0.5568906016206016,[0.49837662 0.44775641 0.57367632 ... 0.60262654 0.48663836 0.51266442],0.00869931691017312,"[ 0.03359684  0.02462121 -0.04878904 ... -0.12900641 -0.00240746
  0.00378836]",0.9698408777254042,p > 0.05,1.0,p > 0.05,0.7529860465116279,p > 0.05,0.9535153846153847,p > 0.05
39,d_std,-45.08596462081813,96.17192924163626,0.52492546972003,,,,,,,,,0.2592819341528681,0.039,0.6737500000000001,0.18239485174873893,0.2668,0.6445075757575758,0.10880891979139762,0.0686,0.19058441558441558,0.19898980742887265,0.5001586666666668,[0.58041667 0.40958333 0.42375    ... 0.51791667 0.70125    0.45125   ],0.6066913992951493,[0.63168706 0.50274378 0.51335262 ... 0.63642191 0.69775641 0.59387626],0.034865434185381766,"[ 0.14285714 -0.11850951 -0.07091089 ...  0.05297483  0.25910548
 -0.03998726]",0.9006235746614957,p > 0.05,0.19145454545454546,p < 0.05 uncorrected,0.7491000000000001,p > 0.05,0.37044,p > 0.05
40,d_n_mean,-45.0265786179741,96.0531572359482,1.2165414755362023,,,,,,,,,0.24652890534654034,0.1774,0.5912499999999999,0.22575759800182926,0.1174,0.6492535242535242,0.09483141411918619,0.1012,0.09608781918564527,0.1536848752251639,0.5020673333333333,[0.42958333 0.65875    0.45041667 ... 0.57458333 0.55791667 0.57458333],0.5789861964424464,[0.57490287 0.49042624 0.49404762 ... 0.60192308 0.62206197 0.6417298 ],0.01399204823295782,"[-0.02525253  0.03785714 -0.08555195 ...  0.03149351  0.10015528
  0.07557483]",0.9006235746614957,p > 0.05,0.40455,p > 0.05,0.7491000000000001,p > 0.05,0.4203692307692308,p > 0.05
41,d_n_std,-45.00121058078406,96.00242116156812,0.5767878994732807,,,,,,,,,0.23063576330284927,0.0806,0.5769791666666666,0.1298155325168714,0.1214,0.6583964646464646,0.10719330742337227,0.0316,0.18600911864641842,0.17773060526021628,0.5000029583333333,[0.42385417 0.51864583 0.5603125  ... 0.5228125  0.4446875  0.5478125 ],0.5941289192751693,[0.58693182 0.61339494 0.64196637 ... 0.63363303 0.51395202 0.56629274],0.024131685363827086,"[-0.05308014  0.08619851  0.01086957 ...  0.05208333 -0.09926222
 -0.03034665]",0.9006235746614957,p > 0.05,0.2560235294117647,p > 0.05,0.7491000000000001,p > 0.05,0.21330000000000005,p < 0.05 uncorrected
42,a_n_mean,-45.6195621309618,97.2391242619236,0.05134433520103034,,,,,,,,,0.9366939748054343,1.0,0.27249999999999996,0.13729277313666427,0.266,0.6141254578754578,0.149357989455759,0.765,-0.024999999999999994,0.06614378277661476,0.5012983333333334,[0.44416667 0.36083333 0.66       ... 0.4725     0.59       0.5975    ],0.5708174988899989,[0.59375208 0.61250208 0.59418706 ... 0.44150641 0.66458541 0.71047286],0.024486904202416487,"[ 0.00132576  0.01086957  0.09375    ... -0.03125     0.04583333
  0.25089411]",0.9727206661441049,p > 0.05,1.0,p > 0.05,0.7491000000000001,p > 0.05,0.9535153846153847,p > 0.05
43,a_n_std,-45.17137296846866,96.34274593693732,-0.23174587238513908,,,,,,,,,0.604577280563507,0.6934,0.451875,0.2565197597706223,0.7968,0.5219246031746032,0.2584390518023015,0.702,-0.06056869755002729,0.37972010925338234,0.4997713333333333,[0.47520833 0.47520833 0.40020833 ... 0.40020833 0.31854167 0.385625  ],0.5759142116217116,[0.57913267 0.5885101  0.57073621 ... 0.5876554  0.55101496 0.61643218],-0.011782643788513215,"[-0.01534091  0.01269753 -0.09242424 ... -0.06650641 -0.07758734
 -0.02961936]",0.9066189480895138,p > 0.05,0.9853578947368421,p > 0.05,0.8781061224489795,p > 0.05,0.9535153846153847,p > 0.05
44,a_mean,-45.56065115261175,97.1213023052235,2.592232805152636,,,,,,,,,0.7028439443294746,0.906,0.379375,0.21943414840473469,0.4458,0.554466366966367,0.22214124436670163,0.8602,-0.05492424242424243,0.09875763503396735,0.5011450000000001,[0.473125   0.626875   0.44770833 ... 0.514375   0.41645833 0.34395833],0.5358193978243978,[0.60826881 0.34437229 0.45670996 ... 0.39478022 0.49004329 0.46505439],0.029825234273407476,"[ 0.0659654   0.04422297 -0.10695127 ...  0.08104021 -0.09520885
 -0.08207071]",0.9447871686690834,p > 0.05,1.0,p > 0.05,0.7491000000000001,p > 0.05,0.9535153846153847,p > 0.05
45,a_std,-43.69052492783105,93.3810498556621,-0.7410258143542588,,,,,,,,,0.15544851142696126,0.2622,0.5611458333333333,0.24232988645961062,0.5958,0.5504349816849817,0.1820297444508024,0.01,0.14013278388278388,0.2817222588174821,0.50022075,[0.47052083 0.3528125  0.31697917 ... 0.4128125  0.5746875  0.42114583],0.5614806707181706,[0.55650253 0.50245726 0.49999306 ... 0.57205295 0.5928842  0.58167388],-0.0874950491692073,"[-0.14058428 -0.20809589 -0.2576704  ...  0.00517857 -0.05284091
 -0.07855479]",0.9006235746614957,p > 0.05,0.5056714285714285,p > 0.05,0.7529860465116279,p > 0.05,0.135,p < 0.05 uncorrected
46,CNV_mean,-45.624908110629306,97.24981622125861,0.1163982993800626,,,,,,,,,0.6574911438312567,0.8224,0.4440625,0.1661875600685195,0.3322,0.6185897435897436,0.13855034385823714,0.6036,0.011363636363636367,0.030065355807552176,0.49950700000000003,[0.50489583 0.4909375  0.44927083 ... 0.46322917 0.54927083 0.50177083],0.5883990909090909,[0.61550117 0.57827589 0.61119714 ... 0.57029221 0.51501832 0.66791819],0.025338221989582684,"[ 0.02336957  0.0417803   0.03554708 ...  0.08842532 -0.0258226
  0.05170455]",0.9190588081307545,p > 0.05,1.0,p > 0.05,0.7491000000000001,p > 0.05,0.9420685714285715,p > 0.05
47,CNV_std,-44.8794922178996,95.7589844357992,0.6258439772507405,,,,,,,,,0.19964821424246468,0.0774,0.6547916666666667,0.23990947004952606,0.199,0.6212703962703963,0.13039722410776036,0.021,0.11300920485703093,0.210134884324209,0.49881833333333336,[0.52145833 0.30770833 0.45145833 ... 0.48604167 0.51604167 0.58479167],0.5624539363414364,[0.565864   0.44859307 0.59143634 ... 0.51518065 0.58774559 0.58257576],-0.05082449410648041,"[ 0.00838033 -0.15158344 -0.12869628 ... -0.08382527 -0.08888033
  0.03278509]",0.9006235746614957,p > 0.05,0.2560235294117647,p > 0.05,0.7491000000000001,p > 0.05,0.18900000000000003,p < 0.05 uncorrected
48,P1_mean,-45.412565881551465,96.82513176310293,0.12574154911423832,,,,,,,,,0.6113293350719571,0.2604,0.5535416666666667,0.2260721945591226,0.7254,0.5328282828282828,0.2189701200580036,0.8584,-0.06172088780784435,0.1931522930828997,0.5010241666666667,[0.42229167 0.45145833 0.48479167 ... 0.66520833 0.41520833 0.39729167],0.5785934382284382,[0.49707792 0.5021645  0.58246753 ... 0.56518065 0.67676074 0.65102398],0.029564788508493377,"[-0.05559441 -0.00437165  0.03409091 ...  0.12581169  0.12754525
  0.00506891]",0.9066189480895138,p > 0.05,0.5056714285714285,p > 0.05,0.8423999999999999,p > 0.05,0.9535153846153847,p > 0.05
49,P1_std,-45.31356402378402,96.62712804756804,-0.1917610650095286,,,,,,,,,0.4390551974609484,0.1406,0.5588541666666667,0.1317358319785598,0.4504,0.5863955488955489,0.2128746561862826,0.199,0.08292422667422665,0.2518793746912548,0.49999333333333335,[0.5921875  0.5203125  0.5078125  ... 0.5328125  0.47552083 0.55052083],0.5776334842934844,[0.66834207 0.65597944 0.53274018 ... 0.65600233 0.56957071 0.56987804],0.017050859529703352,"[ 0.23117409  0.15117827  0.00125    ...  0.07495638 -0.02820878
  0.0450894 ]",0.9006235746614957,p > 0.05,0.36154285714285717,p > 0.05,0.7491000000000001,p > 0.05,0.5907600000000001,p > 0.05
50,P3a_mean,-45.503591421691794,97.00718284338359,0.10741817412652513,,,,,,,,,0.6637646947611004,0.4592,0.5084375,0.18361268371637016,0.4424,0.6138548951048951,0.13663193993461617,0.8154,-0.039583333333333345,0.23242942477233816,0.5000353750000001,[0.5740625  0.50739583 0.5084375  ... 0.5240625  0.5290625  0.4259375 ],0.6042250632700633,[0.61891442 0.52903347 0.60088176 ... 0.60175172 0.6291958  0.58620338],0.03140831423324909,"[-0.02450758 -0.005       0.0133435  ...  0.08046471  0.08032297
  0.0442029 ]",0.9190588081307545,p > 0.05,0.7546909090909091,p > 0.05,0.7491000000000001,p > 0.05,0.9535153846153847,p > 0.05
51,P3a_std,-45.27935710366907,96.55871420733814,-0.2107768917828119,,,,,,,,,0.3952434245933612,0.6706,0.47552083333333334,0.15009310623141373,0.7332,0.5396332833832833,0.16888645990497225,0.953,-0.13846120984278876,0.19700243541933504,0.4998258333333333,[0.41614583 0.53802083 0.57864583 ... 0.47552083 0.43802083 0.43802083],0.5749959158896659,[0.53449883 0.65971112 0.60708042 ... 0.58709207 0.55435398 0.59542541],-0.035746185861567775,"[-0.01181078 -0.00037879 -0.00579955 ... -0.10734649 -0.03894349
 -0.12367424]",0.9006235746614957,p > 0.05,0.9787135135135134,p > 0.05,0.8423999999999999,p > 0.05,0.97,p > 0.05
52,P3b_mean,-45.464335986248486,96.92867197249697,0.08501281784208227,,,,,,,,,0.7309638152032819,0.1798,0.60625,0.24351840849877815,0.4416,0.6026806526806526,0.13232458978868636,0.3894,0.05973320158102767,0.06826552617713398,0.5000483333333333,[0.37291667 0.41875    0.64375    ... 0.35208333 0.45208333 0.52708333],0.5894361835386835,[0.63236208 0.4723804  0.62581863 ... 0.60370671 0.51739927 0.63470904],0.04176104756739159,"[-0.01324139 -0.12210803  0.00157895 ...  0.06433602  0.00188489
  0.11995803]",0.9447871686690834,p > 0.05,0.40455,p > 0.05,0.7491000000000001,p > 0.05,0.7469999999999999,p > 0.05
53,P3b_std,-45.2214990547552,96.4429981095104,-0.23419738499848763,,,,,,,,,0.34528096276802456,0.4122,0.5210416666666666,0.24360278674172292,0.5524,0.5928030303030303,0.14748377367908166,0.429,0.05303606100230816,0.30486253154339527,0.4997073333333334,[0.420625   0.49979167 0.43145833 ... 0.52104167 0.464375   0.51020833],0.604419149045399,[0.56530692 0.63853924 0.59474414 ... 0.61006494 0.55267857 0.58965756],0.029468580138154316,"[-0.03812033  0.09731437 -0.05857488 ...  0.07746401  0.0192029
 -0.02754851]",0.9006235746614957,p > 0.05,0.718025806451613,p > 0.05,0.7529860465116279,p > 0.05,0.7472903225806452,p > 0.05
