,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
29,b_n_std,-100.49624385277505,206.9924877055501,0.10515470280596265,,,,,,,,,0.7928759174462482,0.878,0.4676227106227106,0.05521535242829784,0.9518,0.3076190476190477,0.2534407219577889,0.4628,-0.009824561403508781,0.029221982896360705,0.4998132997964998,[0.47452544 0.49415507 0.53237729 ... 0.52085022 0.54163655 0.44092755],0.4043754100307309,[0.41626601 0.50800536 0.48801594 ... 0.4439608  0.39311916 0.42951152],-0.011704200033968215,"[-0.04443723 -0.05294372  0.04229323 ...  0.04162719  0.00136943
 -0.02298607]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.997083870967742,p > 0.05
30,g_mean,-100.54107947838085,207.0821589567617,-1.365331099581238,,,,,,,,,0.8234927481387098,1.0,0.3893793243793244,0.05009026135507735,0.903,0.2716917293233082,0.22694974032705703,0.9972,-0.11166666666666662,0.10187137859957415,0.49844918518518516,[0.50839845 0.49916768 0.53287139 ... 0.49160155 0.46712861 0.50839845],0.38735620714709545,[0.33904762 0.35288221 0.24587814 ... 0.33950238 0.56867168 0.43808367],0.010043694865964086,"[-0.00833333  0.01333333 -0.07085821 ... -0.08079659  0.02081704
  0.02410019]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
31,g_std,-100.50836372000914,207.0167274400183,0.08359157495799993,,,,,,,,,0.8232425960606556,0.9702,0.4319495319495319,0.060398608080021746,0.807,0.34412233793038743,0.23979615042845723,0.4808,0.0052313946216385075,0.07382620119249052,0.5003118274318274,[0.50434676 0.50434676 0.45819292 ... 0.52634107 0.51745218 0.43194953],0.40145856627341653,[0.41111297 0.49195223 0.39974937 ... 0.28285205 0.48621554 0.33227159],0.0036112344594052695,"[ 0.01879165  0.0346717  -0.01501903 ... -0.01464843 -0.01160031
 -0.09334665]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.997083870967742,p > 0.05
32,g_n_mean,-100.42959884791473,206.85919769582947,0.1276091223576984,,,,,,,,,0.7117387739568801,0.7826,0.4868201058201058,0.0387155637923898,0.8022,0.3104895104895105,0.25860640346332675,0.9892,-0.051379310344827546,0.07291706160359604,0.4998187280423281,[0.49926455 0.50333862 0.48740212 ... 0.48422751 0.49756085 0.52243915],0.3621456861849977,[0.44449393 0.30119458 0.28161616 ... 0.3721645  0.37157789 0.35215385],0.013494719554002518,"[ 0.05046997 -0.00840685 -0.01525641 ... -0.03402299  0.00736559
  0.03593103]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
33,g_n_std,-100.04645882365283,206.09291764730565,0.2130685826978732,,,,,,,,,0.4787216792116217,0.0626,0.5475107855107855,0.025843638196646732,0.297,0.42477584204413465,0.23364125952674253,0.0722,0.06635734682222405,0.11833190053017376,0.49971881546601543,[0.49758486 0.52351079 0.47543101 ... 0.49597639 0.47809768 0.52264306],0.3615768082922843,[0.20124224 0.29818619 0.45975468 ... 0.42642785 0.27008547 0.40620255],-0.00243675580531095,"[-0.02958333 -0.04324286  0.00594409 ...  0.0155611  -0.07031826
  0.01329545]",0.99076660453162,p > 0.05,0.449621052631579,p > 0.05,0.9986,p > 0.05,0.6498,p > 0.05
34,t_mean,-100.54078770982629,207.08157541965258,-2.1904068965118633,,,,,,,,,0.8245547146521433,1.0,0.406931216931217,0.02996054813791618,0.86,0.33817299080456975,0.18639813341127578,0.9546,-0.10346241008966399,0.09902404650192122,0.5003044867724867,[0.40693122 0.50640212 0.52100529 ... 0.54544974 0.46915344 0.50544974],0.4032935045204841,[0.44896064 0.44896064 0.47415558 ... 0.45835516 0.35962326 0.461992  ],-0.027437380795853925,"[ 0.01075044  0.01075044 -0.03863815 ... -0.03885953 -0.05207274
  0.05060062]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
35,t_std,-100.56121502696007,207.12243005392014,-0.04724272198026027,,,,,,,,,0.892973804901045,0.9354,0.4444452584452584,0.07005016799124998,0.7642,0.3286397812713603,0.2139194472328849,0.569,-0.03310344827586207,0.08451019962505041,0.498595831990232,[0.51614896 0.41111193 0.45316321 ... 0.52088807 0.51217013 0.54683679],0.3797291695229978,[0.42654444 0.33746326 0.30381945 ... 0.29461454 0.35530209 0.43113578],-0.018939852151822163,"[ 0.03344211 -0.14118613 -0.07952012 ... -0.04806872 -0.05372627
  0.04607877]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.997083870967742,p > 0.05
36,t_n_mean,-99.62561323368163,205.25122646736327,0.9762582533746071,,,,,,,,,0.20806048744411512,0.1522,0.5914249084249084,0.1481539279130355,0.6548,0.3742806267806268,0.21379241847278685,0.2552,0.03602852481255381,0.08317381805705686,0.4990147936507936,[0.43790842 0.51417623 0.4848429  ... 0.51417623 0.63552747 0.5151571 ],0.39910097015258217,[0.20628019 0.38604003 0.5072162  ... 0.38363402 0.30685276 0.37029711],-0.008539489387221778,"[-0.07704825  0.02489148 -0.00554057 ...  0.04015038  0.02838969
  0.04134841]",0.99076660453162,p > 0.05,0.449621052631579,p > 0.05,0.9986,p > 0.05,0.9693,p > 0.05
37,t_n_std,-99.05412090017174,204.10824180034348,0.48320019867557007,,,,,,,,,0.17700753956733645,0.24,0.5492958892958894,0.10981289860476201,0.209,0.4439327731092438,0.15669705695274339,0.3354,0.00940624848320506,0.17827798442150697,0.4988868245828246,[0.47839642 0.60477818 0.499593   ... 0.44752951 0.52160358 0.39522182],0.3960611959316531,[0.38763495 0.48339065 0.45967032 ... 0.35009524 0.39288668 0.372     ],-0.025606839459185862,"[-0.03932244  0.11448168  0.04275439 ... -0.08567524 -0.01527248
 -0.15954513]",0.99076660453162,p > 0.05,0.5890909090909091,p > 0.05,0.9986,p > 0.05,0.9693,p > 0.05
38,d_mean,-100.47797083728763,206.95594167457526,4.344495565716651,,,,,,,,,0.6718518943797501,0.8166,0.45499592999593,0.09431428255983763,0.9972,0.28140020898641593,0.23113075619193338,0.9942,-0.1278534683707097,0.06948068180823444,0.49983086691086703,[0.51500407 0.56637159 0.44696174 ... 0.44585063 0.50167074 0.58192715],0.41895503689084146,[0.49628547 0.36978802 0.38689007 ... 0.41265232 0.36348011 0.49010513],-0.034983426125769594,"[-0.02770196 -0.03742899 -0.08203182 ... -0.01428571 -0.09170484
  0.06378805]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
