,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
230,79.0,79,0.4575347222222222,2024-01-26 13:21:23.547799,2024-01-26 13:21:26.668894,0 days 00:00:03.121095,False,absolute_error,0.0120568603545698,22,0.029778122219847,47,0.0175783626041962,17,8,RandomForest,25,False,False,COMPLETE,"[0.5, 0.5, 0.4201388888888889, 0.41000000000000003]","[0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ]"
699,,399,0.45699786324786323,2024-01-27 19:30:59.094921,2024-01-27 19:31:03.167481,0 days 00:00:04.072560,True,absolute_error,0.005171700190607398,33,0.19396310983466136,86,0.04722173123156191,19,13,RandomForest,18,False,False,COMPLETE,"[0.41826923076923084, 0.5533333333333332, 0.3263888888888889, 0.53]","[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.25 0.   0.   0.   0.   0.25 0.   0.   0.   0.   0.  ]"
231,78.0,78,0.4560550213675214,2024-01-26 13:21:19.665687,2024-01-26 13:21:23.530408,0 days 00:00:03.864721,True,absolute_error,0.0099908412500426,20,0.126176565376636,89,0.0016110581112002,14,12,RandomForest,19,False,False,COMPLETE,"[0.5576923076923077, 0.48888888888888893, 0.35763888888888895, 0.42]","[0.04926332 0.06861478 0.01439642 0.         0.02031226 0.01585918
 0.03594546 0.02148403 0.00379055 0.02505149 0.04775692 0.00238783
 0.00124326 0.00591912 0.04945698 0.01018744 0.03428572 0.01825473
 0.00168026 0.02142833 0.0221424  0.03066401 0.01372538 0.03384765
 0.01580405 0.00930035 0.01673591 0.01328911 0.0506221  0.01490307
 0.01190599 0.00060089 0.01724575 0.02605245 0.00727044 0.01499502
 0.04227269 0.0036529  0.0134996  0.00316901 0.01140869 0.00724387
 0.02038033 0.02374583 0.01656885 0.01631114 0.02032068 0.
 0.02060104 0.01204036 0.01106626 0.00651568 0.0069127  0.01786773]"
378,,78,0.4560550213675214,2024-01-26 13:21:19.665687,2024-01-26 13:21:23.530408,0 days 00:00:03.864721,True,absolute_error,0.009990841250042671,20,0.12617656537663602,89,0.0016110581112002355,14,12,RandomForest,19,False,False,COMPLETE,,
388,,88,0.4560251068376068,2024-01-26 13:22:05.305469,2024-01-26 13:22:08.810101,0 days 00:00:03.504632,True,absolute_error,0.00983004571617668,38,0.08224802521618496,93,0.02223274442260309,17,19,RandomForest,34,False,False,COMPLETE,,
232,88.0,88,0.4560251068376068,2024-01-26 13:22:05.305469,2024-01-26 13:22:08.810101,0 days 00:00:03.504632,True,absolute_error,0.0098300457161766,38,0.0822480252161849,93,0.022232744422603,17,19,RandomForest,34,False,False,COMPLETE,"[0.47596153846153844, 0.5933333333333333, 0.3368055555555556, 0.418]","[0.02269678 0.05042017 0.         0.         0.         0.01194238
 0.         0.05272338 0.         0.         0.05       0.025
 0.         0.         0.025      0.         0.03571429 0.05167162
 0.         0.01276568 0.06746939 0.         0.04475695 0.05441176
 0.         0.         0.02630583 0.025      0.01470588 0.025
 0.01470588 0.01470588 0.         0.025      0.025      0.
 0.09411765 0.02111581 0.         0.         0.         0.
 0.         0.         0.01470588 0.10441176 0.0269402  0.03970588
 0.02400693 0.         0.         0.         0.         0.        ]"
607,,307,0.4555630341880341,2024-01-27 17:03:55.726072,2024-01-27 17:04:00.988551,0 days 00:00:05.262479,True,absolute_error,0.008163606326174204,29,0.47233895263630915,86,0.012193307483599706,18,3,RandomForest,29,False,False,COMPLETE,,
907,,607,0.455474358974359,2024-01-27 19:43:53.917508,2024-01-27 19:43:57.083828,0 days 00:00:03.166320,True,absolute_error,0.021438220669344185,14,0.3156740348702447,84,0.022229035742952118,20,8,RandomForest,19,False,False,COMPLETE,"[0.6129807692307693, 0.4355555555555556, 0.26736111111111116, 0.506]","[0.         0.02250615 0.         0.         0.         0.
 0.         0.01923077 0.00933692 0.015625   0.17380285 0.
 0.015625   0.         0.03485577 0.         0.         0.01701384
 0.         0.03125    0.015625   0.         0.0089441  0.03125
 0.         0.         0.0066809  0.         0.         0.04166667
 0.         0.03125    0.         0.         0.         0.
 0.16126591 0.         0.         0.         0.015625   0.
 0.         0.08854167 0.015625   0.06311436 0.05048077 0.
 0.07692308 0.         0.01209459 0.         0.04166667 0.        ]"
635,,335,0.45520005341880343,2024-01-27 19:25:15.237999,2024-01-27 19:25:18.750316,0 days 00:00:03.512317,True,absolute_error,0.007340861133217197,2,0.984025849402273,76,0.008614844782195263,16,2,RandomForest,31,False,False,COMPLETE,"[0.5817307692307693, 0.4177777777777778, 0.3072916666666667, 0.514]","[0.02251045 0.04091808 0.04531433 0.         0.03164823 0.
 0.0125     0.         0.00248867 0.         0.1164661  0.0150597
 0.0125     0.00399541 0.02674778 0.00398293 0.         0.00822273
 0.         0.01336417 0.         0.         0.         0.025
 0.01315559 0.01335756 0.0402714  0.00445505 0.04388311 0.
 0.025      0.02874933 0.00502579 0.00690621 0.01666667 0.
 0.12378633 0.         0.         0.         0.01725974 0.00340193
 0.03930274 0.07090993 0.01618209 0.06938664 0.05181657 0.
 0.0157527  0.         0.         0.         0.0125     0.00151207]"
495,,195,0.45513514957264956,2024-01-26 13:29:15.134601,2024-01-26 13:29:18.490734,0 days 00:00:03.356133,True,absolute_error,0.012635468749480933,4,0.06311427054911979,80,0.002789417929649292,17,13,RandomForest,25,False,False,COMPLETE,,
