,Unnamed: 0.1,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
10,10.0,125.0,125,0.6739073426573425,2024-02-16 00:17:13.016092,2024-02-16 00:17:18.030338,0 days 00:00:05.014246,True,absolute_error,0.0501981213790086,14,0.0354958354459326,22,0.0541240179210396,7,11,RandomForest,51,False,False,COMPLETE,"[0.75, 0.859090909090909, 0.7692307692307692, 0.3173076923076923]","[0.         0.004535   0.         0.         0.         0.
 0.00324414 0.00575164 0.03218871 0.0362479  0.04850833 0.
 0.         0.01611483 0.         0.01804389 0.03375243 0.01169611
 0.         0.01136364 0.06113215 0.06107955 0.01136364 0.0206229
 0.         0.         0.         0.00925926 0.00925926 0.0206229
 0.0362479  0.         0.06534091 0.         0.07926559 0.00456889
 0.11835528 0.00620547 0.00925926 0.         0.         0.
 0.05629327 0.04335017 0.00472426 0.00925926 0.0553787  0.0362479
 0.04335017 0.0138591  0.         0.         0.         0.00350762]"
11,11.0,250.0,250,0.6738689881547025,2024-02-16 00:28:20.916101,2024-02-16 00:28:26.195680,0 days 00:00:05.279579,True,absolute_error,0.0540369743847391,13,0.0698836392197134,45,0.036864459358044,6,12,RandomForest,53,False,False,COMPLETE,"[0.8367346938775511, 0.7818181818181819, 0.7403846153846153, 0.33653846153846156]","[0.01535217 0.00942258 0.00736894 0.00636668 0.00432117 0.00966481
 0.00203883 0.01211332 0.00937507 0.03262783 0.01774032 0.00167816
 0.01963261 0.01795423 0.02850034 0.00354401 0.05345367 0.02099209
 0.00799909 0.02234989 0.04513056 0.03296775 0.02482166 0.05034994
 0.01779064 0.0109881  0.01875651 0.0161703  0.00666199 0.00781275
 0.02789455 0.01634418 0.03558533 0.0055203  0.02669164 0.00767917
 0.07356881 0.         0.01444294 0.01405011 0.00436551 0.00767228
 0.05854099 0.05248951 0.00281688 0.0282301  0.02638194 0.01750297
 0.01722759 0.0038522  0.01484678 0.00687863 0.00233382 0.00113777]"
12,12.0,114.0,114,0.6728708791208791,2024-02-16 00:16:19.807917,2024-02-16 00:16:24.293750,0 days 00:00:04.485833,True,absolute_error,0.0441962372788327,11,0.0611739090851784,19,0.0524616638002417,7,12,RandomForest,47,False,False,COMPLETE,"[0.7857142857142857, 0.7999999999999999, 0.7115384615384616, 0.3942307692307692]","[0.00949545 0.00641026 0.         0.00271209 0.00295347 0.
 0.00312    0.01040944 0.01136364 0.02859832 0.03504392 0.00308411
 0.01378682 0.01459558 0.00405766 0.0125     0.05684112 0.03352039
 0.         0.05662909 0.03351648 0.0360844  0.01616115 0.03590862
 0.01369682 0.01199612 0.01299522 0.00641026 0.00717735 0.01282051
 0.04642888 0.00297532 0.00540921 0.0140515  0.0475625  0.
 0.11075792 0.         0.00957402 0.00641026 0.         0.00434564
 0.08393615 0.05627348 0.00343494 0.00529685 0.03141026 0.02242504
 0.00641026 0.00825179 0.01929408 0.02386364 0.         0.        ]"
13,13.0,292.0,292,0.6725983837590981,2024-02-16 00:31:50.488163,2024-02-16 00:31:56.322933,0 days 00:00:05.834770,True,absolute_error,0.0424110292566841,10,0.0247667386127129,82,0.0520563852727228,9,15,RandomForest,52,False,False,COMPLETE,"[0.7653061224489796, 0.8818181818181818, 0.7403846153846154, 0.30288461538461536]","[0.         0.0039934  0.         0.         0.         0.
 0.         0.00524426 0.02845159 0.03309179 0.04396817 0.
 0.         0.0391871  0.         0.02682482 0.07774791 0.
 0.         0.         0.06480518 0.07042336 0.01086957 0.00833333
 0.         0.01388889 0.         0.00833333 0.00833333 0.0192029
 0.03309179 0.         0.06038647 0.         0.06065589 0.00409947
 0.11297845 0.00533506 0.00833333 0.         0.         0.
 0.05004349 0.03843367 0.00813517 0.02376886 0.03055556 0.04698068
 0.03843367 0.01298044 0.         0.         0.         0.00308907]"
14,14.0,194.0,194,0.6724106250891966,2024-02-16 00:23:10.221280,2024-02-16 00:23:15.268411,0 days 00:00:05.047131,True,absolute_error,0.0515536619280338,12,0.012122388607983,43,0.0393610459839001,5,18,RandomForest,65,False,False,COMPLETE,"[0.826530612244898, 0.8727272727272728, 0.6538461538461539, 0.33653846153846156]","[0.00519157 0.01726369 0.01055873 0.01644733 0.0067505  0.
 0.00215707 0.00756284 0.02186049 0.01398584 0.03678949 0.00238934
 0.0029226  0.02483834 0.00714286 0.01670667 0.05312859 0.0269449
 0.00260839 0.03017004 0.0344821  0.04846112 0.02476151 0.0173461
 0.         0.02115249 0.         0.03382976 0.03015969 0.02612488
 0.02831363 0.01590689 0.03708762 0.         0.03803524 0.01140577
 0.05924591 0.00887549 0.01507321 0.         0.         0.00723179
 0.02511353 0.0328855  0.0266782  0.04099901 0.03033882 0.02888544
 0.01856239 0.00540658 0.00193208 0.         0.01120143 0.01508457]"
15,15.0,178.0,178,0.6718219280719281,2024-02-16 00:21:36.869969,2024-02-16 00:21:42.095892,0 days 00:00:05.225923,True,absolute_error,0.0375230094966559,8,0.0634221465155041,19,0.0464143113748649,6,15,RandomForest,64,False,False,COMPLETE,"[0.7857142857142857, 0.8727272727272727, 0.6826923076923077, 0.34615384615384615]","[0.01097564 0.01087963 0.00587478 0.00407701 0.         0.00144125
 0.00653124 0.00531206 0.00456718 0.02678956 0.01933552 0.00497005
 0.02197501 0.00895683 0.04255517 0.00625    0.0723858  0.02738973
 0.02662338 0.02939452 0.04763152 0.01344623 0.01611591 0.05210275
 0.01299934 0.01071113 0.02024797 0.01861982 0.0153293  0.0098137
 0.02106666 0.02237069 0.02374143 0.01394321 0.02814554 0.00633137
 0.07090824 0.00423729 0.02541322 0.00886715 0.         0.00865313
 0.04654748 0.04797019 0.00721382 0.0319234  0.02122541 0.01569562
 0.01069517 0.00409147 0.01279564 0.00861181 0.         0.00625   ]"
16,16.0,159.0,159,0.6697721920936206,2024-02-16 00:20:03.588233,2024-02-16 00:20:08.257299,0 days 00:00:04.669066,True,absolute_error,0.041376305606919,7,0.0289090143368578,22,0.0547081234506801,7,15,RandomForest,43,False,False,COMPLETE,"[0.8163265306122449, 0.7954545454545455, 0.7692307692307693, 0.298076923076923]","[0.         0.00582786 0.         0.         0.         0.
 0.00421365 0.00734938 0.04037103 0.05025703 0.05045495 0.
 0.         0.00928622 0.         0.02587748 0.04752596 0.0143716
 0.         0.015625   0.0621618  0.07828283 0.         0.
 0.         0.         0.         0.01190476 0.01190476 0.02752976
 0.05025703 0.         0.05397727 0.         0.10334575 0.00643591
 0.07692142 0.00857283 0.01190476 0.         0.         0.
 0.07409899 0.         0.01049865 0.00392509 0.0553413  0.00355792
 0.05530754 0.01835608 0.         0.         0.         0.00455539]"
17,17.0,201.0,201,0.668079242186385,2024-02-16 00:23:48.054818,2024-02-16 00:23:53.851389,0 days 00:00:05.796571,True,absolute_error,0.047190799238735,10,0.0287165366168845,44,0.038274762567979,5,18,RandomForest,59,False,False,COMPLETE,"[0.7959183673469388, 0.8090909090909091, 0.7596153846153846, 0.3076923076923077]","[0.00555295 0.01886509 0.01475282 0.01781517 0.00222388 0.
 0.00634039 0.00788646 0.02149442 0.01869943 0.03616486 0.00260329
 0.00319048 0.02658627 0.01073079 0.020582   0.05340298 0.03081105
 0.00278795 0.0175092  0.03793157 0.04234606 0.03199505 0.01173539
 0.         0.02269772 0.00230881 0.03778967 0.01331382 0.02607763
 0.02048901 0.01709841 0.0408085  0.         0.04103773 0.01229063
 0.07759293 0.00867134 0.01270065 0.         0.         0.00625833
 0.03020726 0.02984025 0.01964676 0.01760978 0.04064228 0.03043843
 0.01770106 0.01356691 0.00199253 0.00274475 0.01225036 0.0022169 ]"
18,18.0,142.0,142,0.6678045169116598,2024-02-16 00:18:35.174279,2024-02-16 00:18:42.247214,0 days 00:00:07.072935,True,absolute_error,0.039381833634003,8,0.0104908672411602,20,0.0508725457922761,7,14,RandomForest,60,False,False,COMPLETE,"[0.7602040816326531, 0.7090909090909091, 0.8365384615384616, 0.3653846153846154]","[0.         0.02008302 0.00925926 0.02372275 0.         0.
 0.0023751  0.00433726 0.0160036  0.02679739 0.02700309 0.00420829
 0.         0.03080455 0.00925926 0.02474018 0.07113556 0.01985294
 0.         0.02355664 0.05066853 0.0459211  0.00735294 0.01413016
 0.         0.02679739 0.         0.03050109 0.00694444 0.0209085
 0.02944553 0.01429739 0.06557734 0.         0.05226035 0.00261388
 0.0856201  0.0039065  0.00694444 0.         0.         0.00307464
 0.04136066 0.02355664 0.01486296 0.01174413 0.05482385 0.03417784
 0.02355664 0.01012806 0.00307881 0.         0.         0.00260719]"
19,19.0,186.0,186,0.6670650777793635,2024-02-16 00:22:22.862090,2024-02-16 00:22:29.759458,0 days 00:00:06.897368,True,absolute_error,0.0422155576416151,9,0.0108435910166945,59,0.0467478655928072,6,17,RandomForest,67,False,False,COMPLETE,"[0.7346938775510204, 0.8181818181818181, 0.7596153846153846, 0.3557692307692308]","[0.         0.02038058 0.00422598 0.0199385  0.         0.
 0.00217949 0.00378774 0.01365737 0.01839123 0.02099717 0.00327602
 0.         0.0287544  0.01719114 0.02070978 0.06488981 0.02082599
 0.         0.02756221 0.04200333 0.0473808  0.02061776 0.01253517
 0.         0.02265739 0.         0.04038864 0.02671532 0.02061776
 0.02265739 0.01304201 0.05521562 0.         0.04390647 0.0026063
 0.07283768 0.00656504 0.00609756 0.         0.         0.0060957
 0.03191603 0.02061776 0.02536162 0.02698472 0.04592012 0.02900113
 0.03513797 0.01556293 0.00276759 0.         0.         0.01802277]"
20,20.0,172.0,172,0.6668278150421006,2024-02-16 00:21:04.910674,2024-02-16 00:21:09.794582,0 days 00:00:04.883908,True,absolute_error,0.0425101718542315,10,0.0130795034902705,19,0.0563275106478252,7,15,RandomForest,47,False,False,COMPLETE,"[0.8061224489795918, 0.8227272727272726, 0.7403846153846154, 0.298076923076923]","[0.         0.00535177 0.         0.         0.         0.
 0.00426365 0.         0.03926505 0.04952153 0.04701923 0.
 0.         0.03187339 0.         0.02801808 0.04569194 0.
 0.         0.01315789 0.06088517 0.08055556 0.         0.
 0.         0.         0.         0.01136364 0.01136364 0.02452153
 0.04952153 0.         0.03947368 0.         0.08866295 0.00502907
 0.07435468 0.00707433 0.01136364 0.         0.         0.
 0.07493456 0.05229931 0.01214862 0.00522689 0.05777189 0.
 0.05229931 0.01698748 0.         0.         0.         0.        ]"
21,21.0,272.0,272,0.6656111745397459,2024-02-16 00:30:06.101956,2024-02-16 00:30:11.791306,0 days 00:00:05.689350,True,absolute_error,0.0391494869030169,10,0.0381521562196979,84,0.0551983289709786,7,14,RandomForest,53,False,False,COMPLETE,"[0.7551020408163265, 0.7727272727272727, 0.7403846153846154, 0.3942307692307693]","[0.         0.00641026 0.         0.00641026 0.         0.
 0.00566723 0.00427681 0.00806452 0.03390293 0.04187795 0.
 0.00246835 0.02831328 0.00629678 0.01624956 0.05747519 0.01657278
 0.0138623  0.03143137 0.06119821 0.03954172 0.00806452 0.03962809
 0.01881161 0.00806452 0.00362316 0.01447477 0.         0.00641026
 0.01777389 0.02739417 0.03079179 0.00151202 0.04091675 0.
 0.1080126  0.00276479 0.01089596 0.01447477 0.         0.
 0.0516099  0.0520632  0.00808649 0.03225943 0.02913753 0.02717924
 0.02894955 0.00806452 0.029017   0.         0.         0.        ]"
22,22.0,190.0,190,0.6643989938632796,2024-02-16 00:22:48.172845,2024-02-16 00:22:53.888132,0 days 00:00:05.715287,True,absolute_error,0.0477054201587611,11,0.0335307653482182,18,0.0448009595152347,6,16,RandomForest,67,False,False,COMPLETE,"[0.7346938775510204, 0.8363636363636363, 0.7403846153846154, 0.34615384615384615]","[0.         0.01244893 0.         0.01939716 0.         0.
 0.00217112 0.00380549 0.01988948 0.01591931 0.04766633 0.00306744
 0.00339452 0.02811427 0.00925926 0.01759417 0.06261123 0.02632972
 0.         0.03349996 0.0374704  0.05527421 0.01285432 0.00929458
 0.         0.01741844 0.         0.02504944 0.036203   0.01285432
 0.02211358 0.01285432 0.03878879 0.         0.05186948 0.00250706
 0.0799797  0.00898178 0.00609756 0.         0.         0.00271642
 0.03277028 0.02674321 0.01762084 0.03923645 0.03743561 0.02108564
 0.04738885 0.01511589 0.0027634  0.         0.00469514 0.01764889]"
23,23.0,184.0,184,0.6640653988868275,2024-02-16 00:22:12.016899,2024-02-16 00:22:17.374425,0 days 00:00:05.357526,True,absolute_error,0.0423127578434197,5,0.0130160043664779,58,0.0471421937288427,5,16,RandomForest,61,False,False,COMPLETE,"[0.7448979591836735, 0.7863636363636364, 0.7596153846153846, 0.3653846153846154]","[0.         0.00346745 0.         0.02206769 0.00368445 0.
 0.00231506 0.00416966 0.02917687 0.01338447 0.04217434 0.00375987
 0.         0.03145967 0.01136364 0.02016075 0.0728268  0.0280875
 0.         0.03990749 0.0407598  0.06641468 0.0137218  0.00996502
 0.         0.01874256 0.         0.02030075 0.02030075 0.0137218
 0.02508544 0.0137218  0.04415584 0.         0.05651163 0.00262951
 0.10326571 0.01504946 0.00657895 0.         0.         0.00301775
 0.04442693 0.03644908 0.00514161 0.00947854 0.04405225 0.02353872
 0.0137218  0.00957238 0.00291756 0.         0.00634288 0.00240929]"
24,24.0,163.0,163,0.6632523726273727,2024-02-16 00:20:20.164689,2024-02-16 00:20:25.648706,0 days 00:00:05.484017,True,absolute_error,0.0439010285013838,11,0.0310740308318454,90,0.0566733251872737,7,13,RandomForest,55,False,False,COMPLETE,"[0.7142857142857143, 0.8954545454545455, 0.7596153846153846, 0.28365384615384615]","[0.         0.00452542 0.         0.01967593 0.         0.
 0.00326837 0.00581123 0.03417247 0.0389067  0.04027517 0.
 0.         0.02556096 0.         0.0216219  0.08035817 0.01923077
 0.         0.01041667 0.04816595 0.06923077 0.01041667 0.00925926
 0.         0.         0.         0.00925926 0.00925926 0.01967593
 0.0389067  0.         0.03125    0.         0.07316595 0.00393403
 0.10107789 0.00555816 0.00925926 0.         0.         0.
 0.06219995 0.04467593 0.00473384 0.00925926 0.04547568 0.02964744
 0.04467593 0.01364112 0.         0.         0.         0.00344803]"
25,25.0,192.0,192,0.6628300271157415,2024-02-16 00:22:59.812725,2024-02-16 00:23:05.218583,0 days 00:00:05.405858,True,absolute_error,0.0466561521222452,11,0.0326689614797051,54,0.0442703398541243,5,16,RandomForest,64,False,False,COMPLETE,"[0.7653061224489797, 0.8090909090909091, 0.75, 0.32692307692307687]","[0.00210568 0.0118248  0.         0.01818287 0.00321481 0.
 0.00215728 0.00382747 0.02825117 0.01160893 0.04628223 0.00286995
 0.00315883 0.02668487 0.00862069 0.01642395 0.06012845 0.03111002
 0.         0.03341596 0.04038912 0.06095829 0.01666617 0.00909209
 0.         0.01614122 0.         0.01844512 0.03542518 0.01234756
 0.03485714 0.01234756 0.03599138 0.         0.05226565 0.00586659
 0.07748572 0.01069517 0.00609756 0.         0.         0.00278538
 0.03191596 0.02623645 0.01711023 0.05108652 0.04208087 0.02623615
 0.01234756 0.00567381 0.00274085 0.         0.00985838 0.01698834]"
26,26.0,191.0,191,0.6619951477094335,2024-02-16 00:22:53.905855,2024-02-16 00:22:59.793872,0 days 00:00:05.888017,True,absolute_error,0.0469659862869855,11,0.0365356581995779,41,0.0447376579076939,6,16,RandomForest,67,False,False,COMPLETE,"[0.7346938775510204, 0.8363636363636363, 0.7403846153846154, 0.3365384615384615]","[0.         0.01244893 0.         0.01939716 0.         0.
 0.00217112 0.00380549 0.01988948 0.01591931 0.04766633 0.00306744
 0.00339452 0.02811427 0.00925926 0.01759417 0.06261123 0.02632972
 0.         0.03349996 0.0374704  0.05527421 0.01285432 0.00929458
 0.         0.01741844 0.         0.02504944 0.036203   0.01285432
 0.02211358 0.01285432 0.03878879 0.         0.05186948 0.00250706
 0.0799797  0.00898178 0.00609756 0.         0.         0.00271642
 0.03277028 0.02674321 0.01762084 0.03923645 0.03743561 0.02108564
 0.04738885 0.01511589 0.0027634  0.         0.00469514 0.01764889]"
27,27.0,182.0,182,0.6618006993006993,2024-02-16 00:22:00.201381,2024-02-16 00:22:06.759413,0 days 00:00:06.558032,True,absolute_error,0.0383666133703247,5,0.0114907140833932,44,0.0478168686534728,5,16,RandomForest,61,False,False,COMPLETE,"[0.7500000000000001, 0.7818181818181817, 0.75, 0.3653846153846154]","[0.         0.01208066 0.01052393 0.02253621 0.00368405 0.
 0.00218763 0.00403915 0.01502248 0.02138507 0.02224913 0.00390588
 0.         0.03170977 0.02052545 0.02355059 0.06187945 0.02571584
 0.         0.02563261 0.04599056 0.04270995 0.01355311 0.01342517
 0.         0.0188405  0.         0.02858406 0.02858406 0.0221738
 0.02545788 0.01355311 0.06247947 0.         0.04651409 0.00263169
 0.08400499 0.00933571 0.00641026 0.         0.         0.00292167
 0.03646401 0.02794208 0.01351282 0.01805881 0.05387238 0.0329878
 0.0221738  0.00940109 0.00280069 0.         0.00661738 0.0023711 ]"
28,28.0,153.0,153,0.6615108106179535,2024-02-16 00:19:30.900661,2024-02-16 00:19:37.353550,0 days 00:00:06.452889,True,absolute_error,0.0405120895630065,9,0.0291253928418342,23,0.049406142422952,8,15,RandomForest,56,False,False,COMPLETE,"[0.7602040816326531, 0.6454545454545454, 0.8846153846153846, 0.3557692307692308]","[0.         0.00339464 0.01041667 0.02455404 0.         0.
 0.00294659 0.0046046  0.01780057 0.02818627 0.02999373 0.00421828
 0.         0.03288279 0.01041667 0.02617397 0.07076283 0.02083333
 0.         0.00833333 0.05298044 0.04616171 0.01568627 0.01666662
 0.         0.02083333 0.         0.01776961 0.00735294 0.02610294
 0.02818627 0.01568627 0.07083333 0.         0.05637255 0.00310592
 0.08881017 0.00444255 0.00735294 0.         0.         0.00363224
 0.0441789  0.02610294 0.01659841 0.01305237 0.04606785 0.03687845
 0.02610294 0.00754599 0.00322935 0.         0.         0.00274834]"
