,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
34,t_mean,-100.54078770982629,207.08157541965258,-2.1904068965118633,,,,,,,,,0.8245547146521433,0.9866,0.42592587967587964,0.077430516478128,0.8664,0.2875809595673772,0.25310502985908073,0.5768,-0.022064999676940016,0.0437884118738361,0.5001000231990232,[0.50641539 0.54490745 0.49358461 ... 0.46620366 0.56914017 0.51259255],0.38026199331486493,[0.38792446 0.50276544 0.38320952 ... 0.39381407 0.44808936 0.37323232],-0.016821108219287943,"[ 0.03740572  0.05248578 -0.05847267 ... -0.03973168 -0.00333948
  0.03440831]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
35,t_std,-100.56121502696007,207.12243005392014,-0.04724272198026027,,,,,,,,,0.892973804901045,0.838,0.4787308062308062,0.047651674350575254,0.9912,0.27461799660441427,0.27772614819413877,0.4062,-0.004901960784313708,0.010961117536763636,0.5003550663040663,[0.49484062 0.48349271 0.54441734 ... 0.45558266 0.47539618 0.5199729 ],0.4107059610964849,[0.4203469  0.43853895 0.34795896 ... 0.4847212  0.37686025 0.38539838],-0.013905423316569855,"[ 0.00875601 -0.06766483  0.00150574 ... -0.09390799 -0.03820197
 -0.00106272]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
36,t_n_mean,-99.62561323368163,205.25122646736327,0.9762582533746071,,,,,,,,,0.20806048744411512,0.1542,0.5596772671772672,0.10771151927080476,0.222,0.47073214234633526,0.1364792643145287,0.2408,0.018067591821439077,0.20548898694975634,0.5001284105894106,[0.48365607 0.5888148  0.50245504 ... 0.50421162 0.52603702 0.5361852 ],0.420851848603966,[0.46367583 0.4628243  0.4124842  ... 0.43408721 0.42522884 0.46563332],-0.020865330739360376,"[ 0.00566563  0.00931265 -0.01036994 ... -0.0268847  -0.03481053
 -0.00546799]",0.99076660453162,p > 0.05,0.8496,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
37,t_n_std,-99.05412090017174,204.10824180034348,0.48320019867557007,,,,,,,,,0.17700753956733645,0.2372,0.5452512765012765,0.12033130693509565,0.0336,0.5212741248423408,0.057353018760130936,0.1494,0.0986202098051809,0.15532532523621184,0.500380063825064,[0.55574079 0.47759255 0.46469572 ... 0.57657412 0.57697095 0.46724872],0.4190360083322741,[0.42977381 0.39565632 0.31903738 ... 0.40494126 0.38933368 0.31475782],0.02065301216119861,"[ 0.05836343 -0.02503868  0.01103241 ...  0.05012509  0.02259275
  0.044703  ]",0.99076660453162,p > 0.05,0.8496,p > 0.05,0.936,p < 0.05 uncorrected,0.9784,p > 0.05
38,d_mean,-100.47797083728763,206.95594167457526,4.344495565716651,,,,,,,,,0.6718518943797501,1.0,0.388243561993562,0.10441079091042356,0.7828,0.33210125448028677,0.24809537245998128,0.9748,-0.11610354793444816,0.12068202494719195,0.5000091524586524,[0.58477231 0.53536755 0.58494991 ... 0.51671676 0.43925644 0.59310564],0.3906654217110758,[0.521372   0.35956558 0.33065476 ... 0.37527327 0.30877525 0.41222183],-0.015787100352455265,"[ 0.05732908 -0.01194901 -0.01432063 ... -0.00334332 -0.07528223
  0.04690268]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
39,d_std,-100.03553110131163,206.07106220262327,-0.3228016518356076,,,,,,,,,0.37028855435141417,0.2472,0.5257578532578533,0.09302485546107674,0.5988,0.3958220142430668,0.11552551110196621,0.351,-0.003013096379101058,0.11669276730462352,0.5002865636585637,[0.5252023  0.49463897 0.47797231 ... 0.47146437 0.52258325 0.52519453],0.4079648290131608,[0.41736128 0.35198477 0.44453799 ... 0.37103175 0.39928232 0.45628948],-0.022083089482461186,"[ 0.0033011  -0.04909515 -0.03416642 ... -0.07304617 -0.0743038
 -0.01782859]",0.99076660453162,p > 0.05,0.8496,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
40,d_n_mean,-100.55973982124942,207.11947964249885,-0.09554721656766174,,,,,,,,,0.8971377342485245,0.9824,0.4143627668627669,0.07486295378526102,0.912,0.3053820423839399,0.26588885460554446,0.7368,-0.006046837538550269,0.03841406244417643,0.49991564694564694,[0.46251092 0.42217162 0.53063723 ... 0.6023039  0.47717162 0.46079134],0.4046752728403218,[0.55645836 0.47471904 0.4308801  ... 0.3684283  0.49113298 0.27389392],0.02416168601168911,"[-0.00289817 -0.0422698   0.00956237 ...  0.07084756  0.04767465
  0.05386399]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
41,d_n_std,-100.55098030620911,207.10196061241822,-0.07275375832193398,,,,,,,,,0.8414370416404799,1.0,0.35620879120879123,0.060675382612130506,0.986,0.28438539158353404,0.21051186741316566,0.7512,-0.05821163268531685,0.050425574058542366,0.4988753772893773,[0.42065324 0.39985958 0.47712454 ... 0.50434676 0.5559707  0.49565324],0.40313200465937105,[0.41902775 0.38921443 0.42772793 ... 0.41141844 0.45238229 0.41395863],-0.02245320666167361,"[-0.04940369 -0.02509557 -0.04969439 ...  0.03652913  0.00549787
 -0.04305236]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
42,a_n_mean,-100.34525591273024,206.69051182546048,-0.3170439774593984,,,,,,,,,0.5175650485325988,0.319,0.5200641950641951,0.0952536646885814,0.819,0.30711684006194245,0.3119802882324649,0.4856,0.008499969424570394,0.10312415692543211,0.49980658545158546,[0.4725284  0.55882081 0.46062364 ... 0.50136438 0.47914215 0.52839753],0.38617169539377794,[0.42148364 0.34521937 0.39045017 ... 0.33037422 0.49973438 0.30929038],0.005839926689021449,"[ 0.01173536  0.05997081 -0.02341492 ... -0.08686655 -0.01498218
  0.07335728]",0.99076660453162,p > 0.05,0.8613000000000001,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
43,a_n_std,-100.42676827799849,206.85353655599698,0.12296809913152863,,,,,,,,,0.7234969826620933,0.895,0.433031228031228,0.1125519097152236,0.5156,0.40975468975468976,0.1792764109561347,0.8686,-0.08980741336216021,0.15099115255759274,0.5001187136567136,[0.55440263 0.44218041 0.53692012 ... 0.55781959 0.59154975 0.45358678],0.40892659245088153,[0.44217134 0.40311413 0.48262139 ... 0.41428571 0.46206538 0.50707089],-0.016821448922561644,"[ 0.06768164 -0.07816577  0.08806338 ...  0.04846008  0.09189592
 -0.04672293]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
