,Marker,AUC_mean,AUC_std,AUC_sem,AUC_range,AUCs
14,p_e_8_mean,0.6495021173623715,0.07351196737309744,0.0328755512411985,0.21105263157894738,"[0.5918965517241379, 0.6687719298245615, 0.6817543859649122, 0.5470175438596492, 0.7580701754385966]"
15,p_e_8_std,0.6281802782819117,0.06107953673764315,0.027315599235913163,0.17190562613430127,"[0.5586206896551724, 0.5926315789473684, 0.6617543859649122, 0.5973684210526315, 0.7305263157894737]"
16,k_mean,0.6351464004839684,0.05062244227275357,0.022639044421787186,0.1376013309134907,"[0.5632758620689655, 0.6640350877192982, 0.6571929824561403, 0.5903508771929824, 0.7008771929824562]"
17,k_std,0.6589461584996974,0.08070088116993342,0.03609053122802077,0.22684210526315773,"[0.6103448275862069, 0.7249122807017544, 0.6568421052631579, 0.5378947368421053, 0.764736842105263]"
18,se_mean,0.6427961282516637,0.08364696257528785,0.0374080588859449,0.19385964912280695,"[0.5731034482758621, 0.7287719298245614, 0.5866666666666667, 0.5657894736842106, 0.7596491228070176]"
19,se_std,0.6385650332728373,0.07864345165052383,0.03517042077515786,0.21454325468844537,"[0.5289655172413792, 0.7105263157894737, 0.5898245614035088, 0.62, 0.7435087719298246]"
20,msf_mean,0.6498880822746522,0.055032451409316056,0.02461126046393696,0.13912280701754398,"[0.611896551724138, 0.6989473684210528, 0.683859649122807, 0.5598245614035088, 0.6949122807017544]"
21,msf_std,0.6570973986690865,0.061026832143909845,0.02729202902505033,0.16666666666666674,"[0.6072413793103447, 0.648421052631579, 0.746842105263158, 0.5801754385964912, 0.7028070175438597]"
22,sef90_mean,0.6466769509981851,0.07529243708121001,0.033671801501042285,0.18047489413188145,"[0.5470689655172414, 0.7196491228070174, 0.6699999999999999, 0.5691228070175438, 0.7275438596491228]"
23,sef90_std,0.6329957652752571,0.05539054128414286,0.024771403124370383,0.15526315789473666,"[0.5962068965517241, 0.6636842105263158, 0.5701754385964913, 0.6094736842105263, 0.725438596491228]"
24,sef95_mean,0.6206672716273443,0.06994817921372043,0.031281776724843335,0.16877192982456135,"[0.5498275862068965, 0.6463157894736843, 0.6864912280701755, 0.5259649122807019, 0.6947368421052632]"
25,sef95_std,0.6740036297640654,0.05236282795486057,0.023417368560238905,0.1327888687235328,"[0.6089655172413794, 0.7301754385964913, 0.6449122807017543, 0.6442105263157895, 0.7417543859649122]"
26,b_mean,0.672983666061706,0.05277998039158208,0.0236039248013367,0.12911675741076833,"[0.5896551724137931, 0.7133333333333334, 0.6312280701754387, 0.7119298245614035, 0.7187719298245614]"
27,b_std,0.6337035692679975,0.07984269229228191,0.035706737494428174,0.2087719298245614,"[0.5744827586206898, 0.6810526315789474, 0.5842105263157894, 0.56, 0.7687719298245614]"
28,b_n_mean,0.6423230490018148,0.05667930161882592,0.025347754267381725,0.15543859649122804,"[0.6079310344827586, 0.711578947368421, 0.6421052631578947, 0.5561403508771929, 0.693859649122807]"
29,b_n_std,0.6378415003024803,0.04072535510896953,0.018212932486294846,0.097459165154265,"[0.5951724137931035, 0.6926315789473685, 0.6133333333333333, 0.6066666666666666, 0.6814035087719298]"
30,g_mean,0.6561718088324259,0.050311654663919195,0.02250005597780353,0.14036902601330903,"[0.5910344827586207, 0.6617543859649123, 0.6843859649122808, 0.6122807017543859, 0.7314035087719297]"
31,g_std,0.6485874168179068,0.06852652851928194,0.030645995206238483,0.18443133696309721,"[0.5825862068965518, 0.6835087719298246, 0.6105263157894737, 0.5992982456140351, 0.767017543859649]"
32,g_n_mean,0.6255111917725348,0.0678642917562106,0.030349833922353096,0.19314579552329092,"[0.5293103448275862, 0.6017543859649123, 0.6791228070175439, 0.5949122807017544, 0.7224561403508771]"
33,g_n_std,0.6201016333938295,0.061002219363702495,0.027281021855118548,0.14914095583787046,"[0.5410344827586208, 0.6901754385964912, 0.6656140350877193, 0.5533333333333333, 0.6503508771929825]"
34,t_mean,0.6503097398669087,0.03130216096238593,0.013998751950907036,0.08669691470054441,"[0.6117241379310345, 0.6236842105263158, 0.6698245614035088, 0.6478947368421053, 0.6984210526315789]"
35,t_std,0.6384307320024198,0.06311785341845964,0.028227162167508646,0.16503932244404118,"[0.5572413793103448, 0.722280701754386, 0.6071929824561404, 0.6031578947368421, 0.702280701754386]"
36,t_n_mean,0.6541814882032667,0.04070562879127171,0.018204110608831228,0.11611010284331524,"[0.5882758620689654, 0.6529824561403508, 0.6878947368421053, 0.6373684210526316, 0.7043859649122807]"
37,t_n_std,0.6516400483968542,0.04432217666942771,0.019821479988719116,0.11478221415607992,"[0.6025862068965516, 0.7173684210526315, 0.6094736842105264, 0.6421052631578947, 0.6866666666666666]"
38,d_mean,0.6460526315789474,0.04818643898890557,0.021549630634567815,0.1244736842105264,"[0.575, 0.6994736842105264, 0.6882456140350877, 0.6052631578947368, 0.6622807017543859]"
39,d_std,0.6280205686630369,0.06181031670221495,0.02764241397138865,0.17463399879007857,"[0.5241379310344828, 0.6526315789473685, 0.6687719298245614, 0.5957894736842105, 0.6987719298245614]"
40,d_n_mean,0.6486243194192378,0.07567662414829106,0.033843615180656185,0.21126436781609192,"[0.5220689655172414, 0.7192982456140352, 0.6382456140350878, 0.6301754385964912, 0.7333333333333333]"
41,d_n_std,0.6436890502117362,0.06875301362343487,0.0307472824239939,0.19684210526315782,"[0.5886206896551723, 0.6392982456140351, 0.6680701754385965, 0.5628070175438596, 0.7596491228070175]"
42,a_n_mean,0.6611826981246219,0.04002373446273264,0.01789915819441424,0.11513914095583799,"[0.6229310344827585, 0.6387719298245614, 0.6524561403508772, 0.653684210526316, 0.7380701754385965]"
43,a_n_std,0.6308638838475499,0.09158007770837168,0.04095585582812644,0.23561403508771916,"[0.5337931034482759, 0.6957894736842105, 0.6301754385964912, 0.5294736842105263, 0.7650877192982455]"
44,a_mean,0.6238953418027828,0.01543182361816093,0.006901321325398919,0.03912280701754378,"[0.6098275862068966, 0.6242105263157894, 0.6428070175438596, 0.6036842105263158, 0.6389473684210527]"
45,a_std,0.6546539624924381,0.08215910825520283,0.03674267020587953,0.23322141560798548,"[0.5636206896551724, 0.6849122807017544, 0.5914035087719299, 0.6364912280701754, 0.7968421052631579]"
46,CNV_mean,0.618865093768905,0.07711163502130308,0.034485371552757424,0.2009376890502118,"[0.5334482758620689, 0.6766666666666667, 0.6056140350877193, 0.5442105263157895, 0.7343859649122807]"
47,CNV_std,0.6598221415607985,0.07714853820140583,0.034501875156616554,0.229134906231095,"[0.5406896551724139, 0.7107017543859648, 0.6371929824561404, 0.6407017543859649, 0.7698245614035089]"
48,P1_mean,0.6833508771929825,0.06548205132599517,0.02928446361421109,0.18947368421052635,"[0.645, 0.7277192982456141, 0.6763157894736843, 0.5891228070175438, 0.7785964912280702]"
49,P1_std,0.6798136721113128,0.06160544831018236,0.02755079404118346,0.13198427102238353,"[0.603103448275862, 0.7350877192982456, 0.7321052631578947, 0.6059649122807018, 0.7228070175438597]"
50,P3a_mean,0.6637174833635814,0.08070044826801356,0.036090337628396696,0.18597398669086496,"[0.5705172413793104, 0.7564912280701753, 0.6685964912280702, 0.5742105263157895, 0.7487719298245614]"
51,P3a_std,0.6705650332728373,0.055599917384353485,0.024865038962957338,0.12964912280701757,"[0.6189655172413794, 0.736842105263158, 0.6549122807017544, 0.6071929824561404, 0.7349122807017544]"
52,P3b_mean,0.6797658802177858,0.07485372239971413,0.03347560233093189,0.20152147610405324,"[0.5767241379310345, 0.7082456140350877, 0.7252631578947368, 0.6103508771929824, 0.7782456140350877]"
53,P3b_std,0.6818251663641863,0.06174915834528292,0.027615063122690207,0.17069872958257715,"[0.5898275862068966, 0.7185964912280701, 0.7073684210526316, 0.6328070175438597, 0.7605263157894737]"
