,markers,AUC,p_value,p_corrected,significant
75,wSMI_8_std,0.4814814814814814,0.8911088911088911,0.988011988011988,p > 0.05
76,wSMI_8_std,0.5347222222222222,0.8911088911088911,0.988011988011988,p > 0.05
77,wSMI_8_std,0.33333333333333337,0.8911088911088911,0.988011988011988,p > 0.05
78,wSMI_8_std,0.4444444444444444,0.8911088911088911,0.988011988011988,p > 0.05
79,wSMI_8_std,0.33333333333333337,0.8911088911088911,0.988011988011988,p > 0.05
80,p_e_1_mean,0.35,0.6963036963036963,0.988011988011988,p > 0.05
81,p_e_1_mean,0.55,0.6963036963036963,0.988011988011988,p > 0.05
82,p_e_1_mean,0.46875,0.6963036963036963,0.988011988011988,p > 0.05
83,p_e_1_mean,0.5,0.6963036963036963,0.988011988011988,p > 0.05
84,p_e_1_mean,0.4691358024691358,0.6963036963036963,0.988011988011988,p > 0.05
85,p_e_1_mean,0.48148148148148145,0.6963036963036963,0.988011988011988,p > 0.05
86,p_e_1_mean,0.6736111111111112,0.6963036963036963,0.988011988011988,p > 0.05
87,p_e_1_mean,0.4236111111111111,0.6963036963036963,0.988011988011988,p > 0.05
88,p_e_1_mean,0.4791666666666667,0.6963036963036963,0.988011988011988,p > 0.05
89,p_e_1_mean,0.3055555555555556,0.6963036963036963,0.988011988011988,p > 0.05
90,p_e_1_std,0.55,0.8711288711288712,0.988011988011988,p > 0.05
91,p_e_1_std,0.38125,0.8711288711288712,0.988011988011988,p > 0.05
92,p_e_1_std,0.33125,0.8711288711288712,0.988011988011988,p > 0.05
93,p_e_1_std,0.2875,0.8711288711288712,0.988011988011988,p > 0.05
94,p_e_1_std,0.5370370370370371,0.8711288711288712,0.988011988011988,p > 0.05
95,p_e_1_std,0.11111111111111112,0.8711288711288712,0.988011988011988,p > 0.05
96,p_e_1_std,0.4930555555555556,0.8711288711288712,0.988011988011988,p > 0.05
97,p_e_1_std,0.4444444444444444,0.8711288711288712,0.988011988011988,p > 0.05
98,p_e_1_std,0.5347222222222223,0.8711288711288712,0.988011988011988,p > 0.05
99,p_e_1_std,0.625,0.8711288711288712,0.988011988011988,p > 0.05
100,p_e_2_mean,0.5125000000000001,0.6783216783216783,0.988011988011988,p > 0.05
101,p_e_2_mean,0.4375,0.6783216783216783,0.988011988011988,p > 0.05
102,p_e_2_mean,0.34375,0.6783216783216783,0.988011988011988,p > 0.05
103,p_e_2_mean,0.65625,0.6783216783216783,0.988011988011988,p > 0.05
104,p_e_2_mean,0.5802469135802468,0.6783216783216783,0.988011988011988,p > 0.05
105,p_e_2_mean,0.308641975308642,0.6783216783216783,0.988011988011988,p > 0.05
106,p_e_2_mean,0.375,0.6783216783216783,0.988011988011988,p > 0.05
107,p_e_2_mean,0.45138888888888884,0.6783216783216783,0.988011988011988,p > 0.05
108,p_e_2_mean,0.5763888888888888,0.6783216783216783,0.988011988011988,p > 0.05
109,p_e_2_mean,0.4583333333333333,0.6783216783216783,0.988011988011988,p > 0.05
110,p_e_2_std,0.5375,0.6153846153846154,0.988011988011988,p > 0.05
111,p_e_2_std,0.4125,0.6153846153846154,0.988011988011988,p > 0.05
112,p_e_2_std,0.5,0.6153846153846154,0.988011988011988,p > 0.05
113,p_e_2_std,0.32499999999999996,0.6153846153846154,0.988011988011988,p > 0.05
114,p_e_2_std,0.4814814814814815,0.6153846153846154,0.988011988011988,p > 0.05
115,p_e_2_std,0.308641975308642,0.6153846153846154,0.988011988011988,p > 0.05
116,p_e_2_std,0.25,0.6153846153846154,0.988011988011988,p > 0.05
117,p_e_2_std,0.6805555555555556,0.6153846153846154,0.988011988011988,p > 0.05
118,p_e_2_std,0.5902777777777778,0.6153846153846154,0.988011988011988,p > 0.05
119,p_e_2_std,0.7013888888888888,0.6153846153846154,0.988011988011988,p > 0.05
120,p_e_4_mean,0.22500000000000003,0.3106893106893107,0.8722527472527473,p > 0.05
121,p_e_4_mean,0.42500000000000004,0.3106893106893107,0.8722527472527473,p > 0.05
122,p_e_4_mean,0.5625,0.3106893106893107,0.8722527472527473,p > 0.05
123,p_e_4_mean,0.5375,0.3106893106893107,0.8722527472527473,p > 0.05
124,p_e_4_mean,0.5679012345679013,0.3106893106893107,0.8722527472527473,p > 0.05
125,p_e_4_mean,0.7160493827160495,0.3106893106893107,0.8722527472527473,p > 0.05
126,p_e_4_mean,0.5486111111111112,0.3106893106893107,0.8722527472527473,p > 0.05
127,p_e_4_mean,0.6111111111111112,0.3106893106893107,0.8722527472527473,p > 0.05
128,p_e_4_mean,0.5277777777777777,0.3106893106893107,0.8722527472527473,p > 0.05
129,p_e_4_mean,0.5694444444444444,0.3106893106893107,0.8722527472527473,p > 0.05
130,p_e_4_std,0.45,0.6773226773226774,0.988011988011988,p > 0.05
131,p_e_4_std,0.375,0.6773226773226774,0.988011988011988,p > 0.05
132,p_e_4_std,0.6375,0.6773226773226774,0.988011988011988,p > 0.05
133,p_e_4_std,0.675,0.6773226773226774,0.988011988011988,p > 0.05
134,p_e_4_std,0.4876543209876543,0.6773226773226774,0.988011988011988,p > 0.05
135,p_e_4_std,0.4567901234567901,0.6773226773226774,0.988011988011988,p > 0.05
136,p_e_4_std,0.3680555555555555,0.6773226773226774,0.988011988011988,p > 0.05
137,p_e_4_std,0.29861111111111116,0.6773226773226774,0.988011988011988,p > 0.05
138,p_e_4_std,0.5972222222222223,0.6773226773226774,0.988011988011988,p > 0.05
139,p_e_4_std,0.375,0.6773226773226774,0.988011988011988,p > 0.05
140,p_e_8_mean,0.5875,0.03696303696303696,0.3785103785103785,p < 0.05 uncorrected
141,p_e_8_mean,0.7,0.03696303696303696,0.3785103785103785,p < 0.05 uncorrected
142,p_e_8_mean,0.53125,0.03696303696303696,0.3785103785103785,p < 0.05 uncorrected
143,p_e_8_mean,0.6249999999999999,0.03696303696303696,0.3785103785103785,p < 0.05 uncorrected
144,p_e_8_mean,0.8641975308641976,0.03696303696303696,0.3785103785103785,p < 0.05 uncorrected
145,p_e_8_mean,0.6481481481481481,0.03696303696303696,0.3785103785103785,p < 0.05 uncorrected
146,p_e_8_mean,0.6458333333333334,0.03696303696303696,0.3785103785103785,p < 0.05 uncorrected
147,p_e_8_mean,0.5069444444444444,0.03696303696303696,0.3785103785103785,p < 0.05 uncorrected
148,p_e_8_mean,0.5416666666666667,0.03696303696303696,0.3785103785103785,p < 0.05 uncorrected
149,p_e_8_mean,0.47916666666666663,0.03696303696303696,0.3785103785103785,p < 0.05 uncorrected
150,p_e_8_std,0.5375,0.981018981018981,0.988011988011988,p > 0.05
151,p_e_8_std,0.18125000000000002,0.981018981018981,0.988011988011988,p > 0.05
152,p_e_8_std,0.5875,0.981018981018981,0.988011988011988,p > 0.05
153,p_e_8_std,0.4375,0.981018981018981,0.988011988011988,p > 0.05
154,p_e_8_std,0.4444444444444445,0.981018981018981,0.988011988011988,p > 0.05
155,p_e_8_std,0.5555555555555555,0.981018981018981,0.988011988011988,p > 0.05
156,p_e_8_std,0.38888888888888884,0.981018981018981,0.988011988011988,p > 0.05
157,p_e_8_std,0.1527777777777778,0.981018981018981,0.988011988011988,p > 0.05
158,p_e_8_std,0.20138888888888892,0.981018981018981,0.988011988011988,p > 0.05
159,p_e_8_std,0.25,0.981018981018981,0.988011988011988,p > 0.05
160,k_mean,0.44375,0.8271728271728271,0.988011988011988,p > 0.05
161,k_mean,0.49375,0.8271728271728271,0.988011988011988,p > 0.05
162,k_mean,0.5625,0.8271728271728271,0.988011988011988,p > 0.05
163,k_mean,0.625,0.8271728271728271,0.988011988011988,p > 0.05
164,k_mean,0.4567901234567901,0.8271728271728271,0.988011988011988,p > 0.05
165,k_mean,0.3950617283950617,0.8271728271728271,0.988011988011988,p > 0.05
166,k_mean,0.4305555555555555,0.8271728271728271,0.988011988011988,p > 0.05
167,k_mean,0.4722222222222222,0.8271728271728271,0.988011988011988,p > 0.05
168,k_mean,0.29861111111111116,0.8271728271728271,0.988011988011988,p > 0.05
169,k_mean,0.24305555555555558,0.8271728271728271,0.988011988011988,p > 0.05
170,k_std,0.6499999999999999,0.03896103896103896,0.3785103785103785,p < 0.05 uncorrected
171,k_std,0.5187499999999999,0.03896103896103896,0.3785103785103785,p < 0.05 uncorrected
