,markers,AUC,p_value,significant
203,P1,0.5333333333333334,0.2917082917082917,Not significant
204,P1,0.3866666666666667,0.2917082917082917,Not significant
205,P1,0.5866666666666667,0.2917082917082917,Not significant
206,P1,0.5813333333333334,0.2917082917082917,Not significant
207,P1,0.508,0.2917082917082917,Not significant
208,P1,0.4266666666666667,0.2917082917082917,Not significant
209,P1,0.5172413793103449,0.2917082917082917,Not significant
210,P3a,0.43974358974358974,0.971028971028971,Not significant
211,P3a,0.4602564102564103,0.971028971028971,Not significant
212,P3a,0.3576923076923077,0.971028971028971,Not significant
213,P3a,0.3693333333333333,0.971028971028971,Not significant
214,P3a,0.5066666666666667,0.971028971028971,Not significant
215,P3a,0.504,0.971028971028971,Not significant
216,P3a,0.37200000000000005,0.971028971028971,Not significant
217,P3a,0.5346666666666666,0.971028971028971,Not significant
218,P3a,0.43333333333333335,0.971028971028971,Not significant
219,P3a,0.48143236074270557,0.971028971028971,Not significant
220,P3b,0.514102564102564,0.4875124875124875,Not significant
221,P3b,0.517948717948718,0.4875124875124875,Not significant
222,P3b,0.44871794871794873,0.4875124875124875,Not significant
223,P3b,0.404,0.4875124875124875,Not significant
224,P3b,0.5866666666666667,0.4875124875124875,Not significant
225,P3b,0.556,0.4875124875124875,Not significant
226,P3b,0.6026666666666667,0.4875124875124875,Not significant
227,P3b,0.5466666666666666,0.4875124875124875,Not significant
228,P3b,0.428,0.4875124875124875,Not significant
229,P3b,0.40716180371352784,0.4875124875124875,Not significant
