,markers,AUC,p_value,p_corrected,significant
27,wSMI_4,0.47733333333333333,0.8521478521478522,0.9329004329004329,p > 0.05
28,wSMI_4,0.42933333333333334,0.8521478521478522,0.9329004329004329,p > 0.05
29,wSMI_4,0.39920424403183025,0.8521478521478522,0.9329004329004329,p > 0.05
30,wSMI_8,0.55,0.3026973026973027,0.6136363636363635,p > 0.05
31,wSMI_8,0.5730769230769232,0.3026973026973027,0.6136363636363635,p > 0.05
32,wSMI_8,0.5294871794871795,0.3026973026973027,0.6136363636363635,p > 0.05
33,wSMI_8,0.6026666666666668,0.3026973026973027,0.6136363636363635,p > 0.05
34,wSMI_8,0.4106666666666667,0.3026973026973027,0.6136363636363635,p > 0.05
35,wSMI_8,0.664,0.3026973026973027,0.6136363636363635,p > 0.05
36,wSMI_8,0.38133333333333336,0.3026973026973027,0.6136363636363635,p > 0.05
37,wSMI_8,0.4893333333333333,0.3026973026973027,0.6136363636363635,p > 0.05
38,wSMI_8,0.43333333333333335,0.3026973026973027,0.6136363636363635,p > 0.05
39,wSMI_8,0.5185676392572944,0.3026973026973027,0.6136363636363635,p > 0.05
40,p_e_1,0.42307692307692313,0.3516483516483517,0.6136363636363635,p > 0.05
41,p_e_1,0.691025641025641,0.3516483516483517,0.6136363636363635,p > 0.05
42,p_e_1,0.6128205128205129,0.3516483516483517,0.6136363636363635,p > 0.05
43,p_e_1,0.5346666666666667,0.3516483516483517,0.6136363636363635,p > 0.05
44,p_e_1,0.444,0.3516483516483517,0.6136363636363635,p > 0.05
45,p_e_1,0.5826666666666667,0.3516483516483517,0.6136363636363635,p > 0.05
46,p_e_1,0.4146666666666667,0.3516483516483517,0.6136363636363635,p > 0.05
47,p_e_1,0.504,0.3516483516483517,0.6136363636363635,p > 0.05
48,p_e_1,0.41466666666666663,0.3516483516483517,0.6136363636363635,p > 0.05
49,p_e_1,0.4708222811671088,0.3516483516483517,0.6136363636363635,p > 0.05
50,p_e_2,0.45000000000000007,0.06493506493506493,0.3792207792207792,p > 0.05
51,p_e_2,0.7538461538461538,0.06493506493506493,0.3792207792207792,p > 0.05
52,p_e_2,0.6423076923076924,0.06493506493506493,0.3792207792207792,p > 0.05
53,p_e_2,0.5213333333333333,0.06493506493506493,0.3792207792207792,p > 0.05
54,p_e_2,0.4146666666666666,0.06493506493506493,0.3792207792207792,p > 0.05
55,p_e_2,0.624,0.06493506493506493,0.3792207792207792,p > 0.05
56,p_e_2,0.5906666666666667,0.06493506493506493,0.3792207792207792,p > 0.05
57,p_e_2,0.5519999999999999,0.06493506493506493,0.3792207792207792,p > 0.05
58,p_e_2,0.45333333333333337,0.06493506493506493,0.3792207792207792,p > 0.05
59,p_e_2,0.42175066312997345,0.06493506493506493,0.3792207792207792,p > 0.05
60,p_e_4,0.46025641025641023,0.15084915084915085,0.5602968460111317,p > 0.05
61,p_e_4,0.5243589743589744,0.15084915084915085,0.5602968460111317,p > 0.05
62,p_e_4,0.358974358974359,0.15084915084915085,0.5602968460111317,p > 0.05
63,p_e_4,0.5786666666666667,0.15084915084915085,0.5602968460111317,p > 0.05
64,p_e_4,0.56,0.15084915084915085,0.5602968460111317,p > 0.05
65,p_e_4,0.5666666666666668,0.15084915084915085,0.5602968460111317,p > 0.05
66,p_e_4,0.4506666666666667,0.15084915084915085,0.5602968460111317,p > 0.05
67,p_e_4,0.548,0.15084915084915085,0.5602968460111317,p > 0.05
68,p_e_4,0.6733333333333335,0.15084915084915085,0.5602968460111317,p > 0.05
69,p_e_4,0.5663129973474802,0.15084915084915085,0.5602968460111317,p > 0.05
70,p_e_8,0.5397435897435898,0.8341658341658341,0.9329004329004329,p > 0.05
71,p_e_8,0.49743589743589745,0.8341658341658341,0.9329004329004329,p > 0.05
72,p_e_8,0.4179487179487179,0.8341658341658341,0.9329004329004329,p > 0.05
73,p_e_8,0.43866666666666665,0.8341658341658341,0.9329004329004329,p > 0.05
74,p_e_8,0.648,0.8341658341658341,0.9329004329004329,p > 0.05
75,p_e_8,0.46799999999999997,0.8341658341658341,0.9329004329004329,p > 0.05
76,p_e_8,0.4653333333333334,0.8341658341658341,0.9329004329004329,p > 0.05
77,p_e_8,0.392,0.8341658341658341,0.9329004329004329,p > 0.05
78,p_e_8,0.45066666666666666,0.8341658341658341,0.9329004329004329,p > 0.05
79,p_e_8,0.4177718832891247,0.8341658341658341,0.9329004329004329,p > 0.05
80,k,0.35192307692307695,0.6803196803196803,0.930117501546073,p > 0.05
81,k,0.44871794871794873,0.6803196803196803,0.930117501546073,p > 0.05
82,k,0.5179487179487179,0.6803196803196803,0.930117501546073,p > 0.05
83,k,0.4600000000000001,0.6803196803196803,0.930117501546073,p > 0.05
